instance_name,instance_type,instance_size,seed,n_locations,n_parts,n_routes,n_transports,density,capacity_tightness,weight,lambda_rel,weight_normalizer,exposure_n,threads,solver_config,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,s2_dispatch_cost,cost_saving,r_heaviest_single_0.2,r_heaviest_single_0.4,r_heaviest_single_0.6,r_heaviest_single_0.8,r_heaviest_global_0.2,r_heaviest_global_0.4,r_heaviest_global_0.6,r_heaviest_global_0.8,s2_optimal,s2_time,s2_trajectory,first_s1_time,first_s1_cost,first_r_tr,first_s2_time,first_s2_cost,first_r_1,first_k_1,first_mono_count,first_concentrated_count,first_s1_dispatch_cost,first_s2_dispatch_cost,first_r_heaviest_single_0.2,first_r_heaviest_single_0.4,first_r_heaviest_single_0.6,first_r_heaviest_single_0.8,first_r_heaviest_global_0.2,first_r_heaviest_global_0.4,first_r_heaviest_global_0.6,first_r_heaviest_global_0.8,status
layered_paper,layered,paper,0,5,2,11,2,0.275,0.982,0,0.0,157.1818,3,4,many,baseline,0,0,3458,5,True,10.654,"[{""cost"": 6972, ""time"": 0.017}, {""cost"": 6888, ""time"": 0.018}, {""cost"": 6594, ""time"": 0.019}, {""cost"": 6510, ""time"": 0.02}, {""cost"": 6384, ""time"": 0.022}, {""cost"": 6216, ""time"": 0.023}, {""cost"": 6118, ""time"": 0.025}, {""cost"": 6090, ""time"": 0.026}, {""cost"": 6006, ""time"": 0.027}, {""cost"": 5922, ""time"": 0.028}, {""cost"": 5838, ""time"": 0.03}, {""cost"": 5754, ""time"": 0.031}, {""cost"": 5670, ""time"": 0.032}, {""cost"": 5628, ""time"": 0.033}, {""cost"": 5586, ""time"": 0.035}, {""cost"": 5572, ""time"": 0.037}, {""cost"": 5516, ""time"": 0.038}, {""cost"": 4788, ""time"": 0.042}, {""cost"": 4746, ""time"": 0.043}, {""cost"": 4732, ""time"": 0.045}, {""cost"": 4298, ""time"": 0.047}, {""cost"": 4242, ""time"": 0.049}, {""cost"": 4144, ""time"": 0.052}, {""cost"": 4116, ""time"": 0.053}, {""cost"": 4088, ""time"": 0.055}, {""cost"": 4004, ""time"": 0.059}, {""cost"": 3990, ""time"": 0.062}, {""cost"": 3976, ""time"": 0.071}, {""cost"": 3962, ""time"": 0.076}, {""cost"": 3934, ""time"": 0.08}, {""cost"": 3906, ""time"": 0.082}, {""cost"": 3864, ""time"": 0.105}, {""cost"": 3850, ""time"": 0.117}, {""cost"": 3836, ""time"": 0.118}, {""cost"": 3822, ""time"": 0.13}, {""cost"": 3808, ""time"": 0.132}, {""cost"": 3738, ""time"": 0.176}, {""cost"": 3724, ""time"": 0.251}, {""cost"": 3710, ""time"": 0.253}, {""cost"": 3626, ""time"": 0.256}, {""cost"": 3612, ""time"": 0.266}, {""cost"": 3542, ""time"": 0.269}, {""cost"": 3514, ""time"": 0.273}, {""cost"": 3486, ""time"": 0.978}, {""cost"": 3472, ""time"": 4.629}, {""cost"": 3458, ""time"": 4.634}]",3458,0.5,"(l1,l4,tr2)",0.8,"(l3,l5,tr2,k5)",0.8,"(l3,l5,tr2,k5)",p2,3,23,2744,714,0.55,0.65,0.7,0.85,0.1,0.2,0.35,0.5,True,0.028,"[{""cost"": [21], ""time"": 0.018}, {""cost"": [19], ""time"": 0.022}, {""cost"": [18], ""time"": 0.026}]",,,,,,,,,,,,,,,,,,,,OK
layered_paper,layered,paper,0,5,2,11,2,0.275,0.982,0,0.0,157.1818,3,4,many,mixed,1,0,3458,5,True,10.654,"[{""cost"": 6972, ""time"": 0.017}, {""cost"": 6888, ""time"": 0.018}, {""cost"": 6594, ""time"": 0.019}, {""cost"": 6510, ""time"": 0.02}, {""cost"": 6384, ""time"": 0.022}, {""cost"": 6216, ""time"": 0.023}, {""cost"": 6118, ""time"": 0.025}, {""cost"": 6090, ""time"": 0.026}, {""cost"": 6006, ""time"": 0.027}, {""cost"": 5922, ""time"": 0.028}, {""cost"": 5838, ""time"": 0.03}, {""cost"": 5754, ""time"": 0.031}, {""cost"": 5670, ""time"": 0.032}, {""cost"": 5628, ""time"": 0.033}, {""cost"": 5586, ""time"": 0.035}, {""cost"": 5572, ""time"": 0.037}, {""cost"": 5516, ""time"": 0.038}, {""cost"": 4788, ""time"": 0.042}, {""cost"": 4746, ""time"": 0.043}, {""cost"": 4732, ""time"": 0.045}, {""cost"": 4298, ""time"": 0.047}, {""cost"": 4242, ""time"": 0.049}, {""cost"": 4144, ""time"": 0.052}, {""cost"": 4116, ""time"": 0.053}, {""cost"": 4088, ""time"": 0.055}, {""cost"": 4004, ""time"": 0.059}, {""cost"": 3990, ""time"": 0.062}, {""cost"": 3976, ""time"": 0.071}, {""cost"": 3962, ""time"": 0.076}, {""cost"": 3934, ""time"": 0.08}, {""cost"": 3906, ""time"": 0.082}, {""cost"": 3864, ""time"": 0.105}, {""cost"": 3850, ""time"": 0.117}, {""cost"": 3836, ""time"": 0.118}, {""cost"": 3822, ""time"": 0.13}, {""cost"": 3808, ""time"": 0.132}, {""cost"": 3738, ""time"": 0.176}, {""cost"": 3724, ""time"": 0.251}, {""cost"": 3710, ""time"": 0.253}, {""cost"": 3626, ""time"": 0.256}, {""cost"": 3612, ""time"": 0.266}, {""cost"": 3542, ""time"": 0.269}, {""cost"": 3514, ""time"": 0.273}, {""cost"": 3486, ""time"": 0.978}, {""cost"": 3472, ""time"": 4.629}, {""cost"": 3458, ""time"": 4.634}]",3458,0.5,"(l1,l4,tr2)",0.85,"(l1,l3,tr2,k1)",0.85,"(l1,l3,tr2,k1)",p2,2,18,2744,714,0.55,0.65,0.7,0.85,0.05,0.15,0.3,0.5,True,0.031,"[{""cost"": [6, 22], ""time"": 0.01}, {""cost"": [6, 19], ""time"": 0.013}, {""cost"": [5, 18], ""time"": 0.016}, {""cost"": [4, 22], ""time"": 0.019}, {""cost"": [3, 18], ""time"": 0.022}, {""cost"": [2, 21], ""time"": 0.026}, {""cost"": [2, 18], ""time"": 0.029}]",,,,,,,,,,,,,,,,,,,,OK
layered_paper,layered,paper,0,5,2,11,2,0.275,0.982,0,0.0,157.1818,3,4,many,even,0,1,3458,5,True,10.654,"[{""cost"": 6972, ""time"": 0.017}, {""cost"": 6888, ""time"": 0.018}, {""cost"": 6594, ""time"": 0.019}, {""cost"": 6510, ""time"": 0.02}, {""cost"": 6384, ""time"": 0.022}, {""cost"": 6216, ""time"": 0.023}, {""cost"": 6118, ""time"": 0.025}, {""cost"": 6090, ""time"": 0.026}, {""cost"": 6006, ""time"": 0.027}, {""cost"": 5922, ""time"": 0.028}, {""cost"": 5838, ""time"": 0.03}, {""cost"": 5754, ""time"": 0.031}, {""cost"": 5670, ""time"": 0.032}, {""cost"": 5628, ""time"": 0.033}, {""cost"": 5586, ""time"": 0.035}, {""cost"": 5572, ""time"": 0.037}, {""cost"": 5516, ""time"": 0.038}, {""cost"": 4788, ""time"": 0.042}, {""cost"": 4746, ""time"": 0.043}, {""cost"": 4732, ""time"": 0.045}, {""cost"": 4298, ""time"": 0.047}, {""cost"": 4242, ""time"": 0.049}, {""cost"": 4144, ""time"": 0.052}, {""cost"": 4116, ""time"": 0.053}, {""cost"": 4088, ""time"": 0.055}, {""cost"": 4004, ""time"": 0.059}, {""cost"": 3990, ""time"": 0.062}, {""cost"": 3976, ""time"": 0.071}, {""cost"": 3962, ""time"": 0.076}, {""cost"": 3934, ""time"": 0.08}, {""cost"": 3906, ""time"": 0.082}, {""cost"": 3864, ""time"": 0.105}, {""cost"": 3850, ""time"": 0.117}, {""cost"": 3836, ""time"": 0.118}, {""cost"": 3822, ""time"": 0.13}, {""cost"": 3808, ""time"": 0.132}, {""cost"": 3738, ""time"": 0.176}, {""cost"": 3724, ""time"": 0.251}, {""cost"": 3710, ""time"": 0.253}, {""cost"": 3626, ""time"": 0.256}, {""cost"": 3612, ""time"": 0.266}, {""cost"": 3542, ""time"": 0.269}, {""cost"": 3514, ""time"": 0.273}, {""cost"": 3486, ""time"": 0.978}, {""cost"": 3472, ""time"": 4.629}, {""cost"": 3458, ""time"": 4.634}]",3458,0.5,"(l1,l4,tr2)",0.8,"(l1,l4,tr2,k6)",0.8,"(l1,l4,tr2,k6)",p2,6,10,3458,0,0.55,0.6,0.65,0.7,0.05,0.1,0.2,0.4,True,0.026,"[{""cost"": [14200, 21], ""time"": 0.01}, {""cost"": [13200, 21], ""time"": 0.013}, {""cost"": [11600, 20], ""time"": 0.016}, {""cost"": [8000, 22], ""time"": 0.022}]",,,,,,,,,,,,,,,,,,,,OK
layered_paper,layered,paper,0,5,2,11,2,0.275,0.982,0,0.0,157.1818,3,4,many,full,1,1,3458,5,True,10.654,"[{""cost"": 6972, ""time"": 0.017}, {""cost"": 6888, ""time"": 0.018}, {""cost"": 6594, ""time"": 0.019}, {""cost"": 6510, ""time"": 0.02}, {""cost"": 6384, ""time"": 0.022}, {""cost"": 6216, ""time"": 0.023}, {""cost"": 6118, ""time"": 0.025}, {""cost"": 6090, ""time"": 0.026}, {""cost"": 6006, ""time"": 0.027}, {""cost"": 5922, ""time"": 0.028}, {""cost"": 5838, ""time"": 0.03}, {""cost"": 5754, ""time"": 0.031}, {""cost"": 5670, ""time"": 0.032}, {""cost"": 5628, ""time"": 0.033}, {""cost"": 5586, ""time"": 0.035}, {""cost"": 5572, ""time"": 0.037}, {""cost"": 5516, ""time"": 0.038}, {""cost"": 4788, ""time"": 0.042}, {""cost"": 4746, ""time"": 0.043}, {""cost"": 4732, ""time"": 0.045}, {""cost"": 4298, ""time"": 0.047}, {""cost"": 4242, ""time"": 0.049}, {""cost"": 4144, ""time"": 0.052}, {""cost"": 4116, ""time"": 0.053}, {""cost"": 4088, ""time"": 0.055}, {""cost"": 4004, ""time"": 0.059}, {""cost"": 3990, ""time"": 0.062}, {""cost"": 3976, ""time"": 0.071}, {""cost"": 3962, ""time"": 0.076}, {""cost"": 3934, ""time"": 0.08}, {""cost"": 3906, ""time"": 0.082}, {""cost"": 3864, ""time"": 0.105}, {""cost"": 3850, ""time"": 0.117}, {""cost"": 3836, ""time"": 0.118}, {""cost"": 3822, ""time"": 0.13}, {""cost"": 3808, ""time"": 0.132}, {""cost"": 3738, ""time"": 0.176}, {""cost"": 3724, ""time"": 0.251}, {""cost"": 3710, ""time"": 0.253}, {""cost"": 3626, ""time"": 0.256}, {""cost"": 3612, ""time"": 0.266}, {""cost"": 3542, ""time"": 0.269}, {""cost"": 3514, ""time"": 0.273}, {""cost"": 3486, ""time"": 0.978}, {""cost"": 3472, ""time"": 4.629}, {""cost"": 3458, ""time"": 4.634}]",3458,0.5,"(l1,l4,tr2)",0.8,"(l1,l4,tr2,k7)",0.8,"(l1,l4,tr2,k7)",p2,5,10,3458,0,0.55,0.6,0.65,0.7,0.05,0.1,0.3,0.4,True,0.028,"[{""cost"": [11206, 22], ""time"": 0.01}, {""cost"": [10607, 22], ""time"": 0.013}, {""cost"": [10606, 19], ""time"": 0.016}, {""cost"": [9605, 20], ""time"": 0.02}, {""cost"": [8005, 22], ""time"": 0.023}]",,,,,,,,,,,,,,,,,,,,OK
