instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,cvar_alpha_single_0.2,cvar_alpha_single_0.4,cvar_alpha_single_0.6,cvar_alpha_single_0.8,cvar_alpha_global_0.2,cvar_alpha_global_0.4,cvar_alpha_global_0.6,cvar_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
layered_medium_seed3,milp,0.0,0.0,179.06,0,0,conc_w8,0,8,True,9132,9,51,0,0.296,30.006,9132,0.296,9132,0.296,0,False,15,28,0.2,0.2667,0.3667,0.5,0.7333,0.0,0.1333,0.2333,0.5333,0.9624,0.9667,0.8578,0.0,0.9624,0.9624,0.8578,0.9624,0.9444,0.9624,0.8074,0.8407,0.879,0.9284,0.0333,0.1555,0.3,0.5444,0.5,0.5667,0.6667,0.8333,0.0,0.1333,0.2333,0.5333,9132,8896,236,[]
layered_medium_seed3,milp,0.0,0.0,179.06,0,0,full_w8_8,8,8,True,9132,9,51,0,0.296,30.008,9132,0.296,9132,0.296,0,False,9,33,0.2,0.2667,0.3667,0.5667,0.6667,0.0,0.1333,0.3,0.6,0.9608,0.9667,0.8511,0.0,0.9608,0.9608,0.8511,0.9608,0.9444,0.9608,0.8099,0.8469,0.8864,0.9383,0.0444,0.1889,0.3556,0.6222,0.5,0.5667,0.6667,0.8334,0.0,0.1333,0.3,0.6,9132,8011,1121,[]
layered_medium_seed4,milp,0.0,0.0,93.3,0,0,baseline,0,0,True,1866,8,20,2,0.024,0.062,1866,0.024,1866,0.024,0,True,2,23,0.5333,0.5333,0.6333,0.6667,0.6667,0.0,0.0333,0.2,0.4,0.917,0.9333,0.7556,0.0,0.917,0.9141,0.7533,0.917,0.8889,0.9141,0.8236,0.8375,0.8833,0.9056,0.0,0.1111,0.2889,0.4667,0.6444,0.7111,0.7889,0.8889,0.0,0.0333,0.2,0.4,1866,1614,252,[]
layered_medium_seed4,milp,0.0,0.0,93.3,0,0,hetero_w8,8,0,True,1866,8,20,2,0.024,0.065,1866,0.024,1866,0.024,0,True,0,25,0.5333,0.5333,0.6,0.6333,0.7667,0.0,0.0,0.2333,0.4333,0.917,0.9333,0.7833,0.0,0.917,0.9141,0.7867,0.917,0.8889,0.9141,0.8236,0.8389,0.8833,0.9056,0.0,0.1222,0.3,0.4778,0.6444,0.7111,0.7778,0.8889,0.0,0.0,0.2333,0.4333,1866,1614,252,[]
layered_medium_seed4,milp,0.0,0.0,93.3,0,0,conc_w8,0,8,True,1866,8,20,2,0.024,30.004,1866,0.024,1866,0.024,0,False,1,15,0.5333,0.5333,0.5667,0.6333,0.6667,0.0,0.0333,0.2667,0.4333,0.917,0.9333,0.7445,0.0,0.917,0.9141,0.74,0.917,0.8889,0.9141,0.8236,0.8361,0.8917,0.9153,0.0,0.1,0.3333,0.5222,0.6444,0.6778,0.7778,0.8889,0.0,0.0333,0.2667,0.4333,1866,1614,252,[]
layered_medium_seed4,milp,0.0,0.0,93.3,0,0,full_w8_8,8,8,True,1866,8,20,2,0.024,30.009,1866,0.024,1866,0.024,0,False,0,15,0.5333,0.5333,0.6,0.6667,0.7,0.0,0.0333,0.2,0.4333,0.917,0.9333,0.7556,0.0,0.917,0.9141,0.7533,0.917,0.8889,0.9141,0.8236,0.8375,0.8903,0.9125,0.0,0.1111,0.3222,0.5,0.6444,0.6889,0.7889,0.8889,0.0,0.0333,0.2,0.4333,1866,1614,252,[]
layered_medium_seed5,milp,0.0,0.0,152.71,0,0,baseline,0,0,True,4276,9,28,4,0.025,0.076,4276,0.025,4276,0.025,0,True,5,24,0.4333,0.5333,0.6,0.7,0.7,0.0,0.1,0.1333,0.1667,0.9323,0.9667,0.7762,0.0,0.9323,0.9247,0.7778,0.9323,0.9,0.9247,0.8432,0.8802,0.8963,0.9358,0.0,0.2445,0.3222,0.5556,0.6889,0.7667,0.8333,0.9,0.0,0.1,0.1333,0.1667,4276,3308,968,[]
layered_medium_seed5,milp,0.0,0.0,152.71,0,0,hetero_w8,8,0,True,4276,9,28,4,0.025,0.086,4276,0.025,4276,0.025,0,True,0,27,0.4333,0.5333,0.6667,0.6667,0.7667,0.0,0.1,0.1667,0.2667,0.9323,0.9667,0.8095,0.0,0.9323,0.9247,0.8167,0.9323,0.9111,0.9247,0.842,0.8778,0.8951,0.9383,0.0,0.2222,0.3111,0.5889,0.6778,0.7556,0.8333,0.9111,0.0,0.1,0.1667,0.2667,4276,3308,968,[]
layered_medium_seed5,milp,0.0,0.0,152.71,0,0,conc_w8,0,8,True,4276,9,28,4,0.025,30.009,4276,0.025,4276,0.025,0,False,0,17,0.4333,0.5,0.5667,0.7,0.7667,0.0,0.1,0.2,0.3333,0.938,0.9667,0.8083,0.0,0.938,0.9322,0.8111,0.938,0.9111,0.9322,0.8383,0.8704,0.8889,0.9309,0.0,0.1778,0.3222,0.5667,0.6444,0.6889,0.7778,0.8444,0.0,0.1,0.2,0.3333,4276,3660,616,[]
layered_medium_seed5,milp,0.0,0.0,152.71,0,0,full_w8_8,8,8,True,4276,9,28,4,0.025,30.01,4276,0.025,4276,0.025,0,False,0,17,0.4333,0.5,0.5667,0.7,0.7333,0.0,0.1333,0.2,0.3,0.938,0.9667,0.8042,0.0,0.938,0.9322,0.8056,0.938,0.9111,0.9322,0.8395,0.8728,0.8914,0.9333,0.0,0.2,0.3333,0.5222,0.6556,0.7,0.7889,0.8556,0.0,0.1333,0.2,0.3,4276,3660,616,[]
layered_small_seed1,milp,0.0,0.0,108.16,0,0,baseline,0,0,True,4002,6,37,1,0.046,30.009,4002,0.046,4002,0.046,0,False,7,27,0.4667,0.5,0.5333,0.5667,0.6,0.0,0.0667,0.2,0.3333,0.9231,0.9333,0.8278,0.0,0.9231,0.922,0.82,0.9231,0.9,0.922,0.6972,0.7472,0.8222,0.875,0.05,0.15,0.3667,0.5666,0.55,0.6333,0.7167,0.8,0.0,0.0667,0.2,0.3333,4002,2788,1214,[]
layered_small_seed1,milp,0.0,0.0,108.16,0,0,hetero_w8,8,0,True,4002,6,37,1,0.046,30.009,4002,0.046,4002,0.046,0,False,0,36,0.4667,0.5,0.6,0.6333,0.6667,0.0333,0.1333,0.3333,0.4333,0.9231,0.9333,0.8444,0.0,0.9231,0.922,0.84,0.9231,0.9,0.922,0.6972,0.7472,0.8222,0.875,0.0333,0.1833,0.45,0.6,0.55,0.6334,0.7166,0.8,0.0333,0.1333,0.3333,0.4333,4002,2788,1214,[]
layered_small_seed1,milp,0.0,0.0,108.16,0,0,conc_w8,0,8,True,4002,6,37,1,0.046,30.009,4002,0.046,4002,0.046,0,False,3,18,0.4667,0.4667,0.5333,0.5667,0.6333,0.0333,0.1333,0.2,0.3,0.9394,0.9667,0.8381,0.0,0.9394,0.9391,0.8381,0.9394,0.9,0.9391,0.6917,0.7334,0.7944,0.8611,0.05,0.1833,0.3167,0.5,0.4833,0.55,0.6334,0.8,0.0333,0.1333,0.2,0.3,4002,3650,352,[]
