instance,config,strategy,r_alpha_0.2,nri_alpha_0.2,cvar_alpha_0.2,r_alpha_0.4,nri_alpha_0.4,cvar_alpha_0.4,r_alpha_0.6,nri_alpha_0.6,cvar_alpha_0.6,r_alpha_0.8,nri_alpha_0.8,cvar_alpha_0.8
layered_medium_seed4,hetero_w8,heaviest,0.5333,0.8236,0.6444,0.6,0.8389,0.7111,0.6333,0.8833,0.7778,0.7667,0.9056,0.8889
layered_medium_seed4,hetero_w8,first,0.5333,0.8236,0.6444,0.6333,0.8458,0.7555,0.7333,0.8917,0.8222,0.7667,0.9125,0.8889
layered_medium_seed4,hetero_w8,last,0.5333,0.8236,0.6444,0.6,0.8458,0.7111,0.7667,0.9097,0.8222,0.7667,0.925,0.8889
layered_medium_seed4,conc_w8,heaviest,0.5333,0.8236,0.6444,0.5667,0.8361,0.6778,0.6333,0.8917,0.7778,0.6667,0.9153,0.8889
layered_medium_seed4,conc_w8,first,0.5333,0.8236,0.6444,0.6333,0.8458,0.7556,0.7,0.9028,0.8333,0.7333,0.9167,0.8889
layered_medium_seed4,conc_w8,last,0.5333,0.8236,0.6444,0.5667,0.8486,0.7556,0.6,0.8958,0.7889,0.6667,0.9181,0.8889
layered_medium_seed4,full_w8_8,heaviest,0.5333,0.8236,0.6444,0.6,0.8375,0.6889,0.6667,0.8903,0.7889,0.7,0.9125,0.8889
layered_medium_seed4,full_w8_8,first,0.5333,0.8236,0.6444,0.5667,0.8472,0.7444,0.6333,0.9056,0.8444,0.7,0.9208,0.8889
layered_medium_seed4,full_w8_8,last,0.5333,0.8236,0.6444,0.6333,0.8458,0.7555,0.7333,0.8931,0.8,0.7667,0.9153,0.9
layered_medium_seed5,baseline,heaviest,0.5333,0.8432,0.6889,0.6,0.8802,0.7667,0.7,0.8963,0.8333,0.7,0.9358,0.9
layered_medium_seed5,baseline,first,0.5333,0.8432,0.6889,0.6333,0.8827,0.7667,0.7,0.9,0.8333,0.7667,0.9444,0.9111
layered_medium_seed5,baseline,last,0.5333,0.8432,0.6889,0.6,0.8839,0.7667,0.6,0.8988,0.8333,0.7667,0.9457,0.9222
layered_medium_seed5,hetero_w8,heaviest,0.5333,0.842,0.6778,0.6667,0.8778,0.7556,0.6667,0.8951,0.8333,0.7667,0.9383,0.9111
layered_medium_seed5,hetero_w8,first,0.5333,0.8432,0.6889,0.6667,0.8877,0.7667,0.6667,0.9012,0.8444,0.7667,0.942,0.9111
layered_medium_seed5,hetero_w8,last,0.4333,0.8444,0.7,0.5333,0.8852,0.7667,0.6667,0.9025,0.8333,0.7667,0.9407,0.9111
layered_medium_seed5,conc_w8,heaviest,0.5,0.8383,0.6444,0.5667,0.8704,0.6889,0.7,0.8889,0.7778,0.7667,0.9309,0.8444
layered_medium_seed5,conc_w8,first,0.5,0.8395,0.6556,0.5667,0.8753,0.7,0.6333,0.8963,0.8111,0.7667,0.9383,0.8889
layered_medium_seed5,conc_w8,last,0.5,0.842,0.6778,0.5667,0.8815,0.7222,0.7,0.9025,0.8333,0.7667,0.9444,0.9111
layered_medium_seed5,full_w8_8,heaviest,0.5,0.8395,0.6556,0.5667,0.8728,0.7,0.7,0.8914,0.7889,0.7333,0.9333,0.8556
layered_medium_seed5,full_w8_8,first,0.5333,0.8432,0.6889,0.6333,0.8815,0.7333,0.6333,0.9025,0.8333,0.7667,0.9383,0.8889
layered_medium_seed5,full_w8_8,last,0.5,0.8395,0.6556,0.5333,0.8815,0.7222,0.6667,0.8988,0.8333,0.7333,0.9383,0.8778
layered_small_seed1,baseline,heaviest,0.5,0.6972,0.55,0.5333,0.7472,0.6333,0.5667,0.8222,0.7167,0.6,0.875,0.8
layered_small_seed1,baseline,first,0.4667,0.7,0.5667,0.5667,0.7528,0.65,0.7,0.8278,0.7333,0.7333,0.8806,0.8167
layered_small_seed1,baseline,last,0.5,0.7056,0.55,0.6,0.7611,0.65,0.7333,0.8389,0.7333,0.7667,0.8917,0.8167
layered_small_seed1,hetero_w8,heaviest,0.5,0.6972,0.55,0.6,0.7472,0.6334,0.6333,0.8222,0.7166,0.6667,0.875,0.8
layered_small_seed1,hetero_w8,first,0.5,0.7,0.5666,0.5333,0.7556,0.6666,0.6667,0.8361,0.75,0.8,0.8889,0.8334
layered_small_seed1,hetero_w8,last,0.5,0.7028,0.55,0.6,0.7556,0.6334,0.6333,0.8333,0.7166,0.6667,0.8861,0.8
layered_small_seed1,conc_w8,heaviest,0.4667,0.6917,0.4833,0.5333,0.7334,0.55,0.5667,0.7944,0.6334,0.6333,0.8611,0.8
layered_small_seed1,conc_w8,first,0.5,0.7056,0.5,0.5667,0.7695,0.6667,0.7333,0.8361,0.7666,0.8,0.8944,0.8166
layered_small_seed1,conc_w8,last,0.5,0.7139,0.5,0.5333,0.7722,0.6,0.6667,0.8361,0.7,0.8,0.9,0.8166
layered_small_seed1,full_w8_8,heaviest,0.5,0.6972,0.5,0.5667,0.7389,0.5667,0.6,0.7972,0.6334,0.6667,0.8639,0.8
layered_small_seed1,full_w8_8,first,0.5,0.725,0.55,0.5667,0.7695,0.6167,0.7,0.8389,0.7166,0.8,0.8917,0.8334
layered_small_seed1,full_w8_8,last,0.5,0.7222,0.5666,0.6667,0.7806,0.6834,0.7,0.8333,0.7334,0.8,0.8889,0.8166
layered_small_seed2,baseline,heaviest,0.4,0.8133,0.5166,0.4333,0.8367,0.5833,0.5,0.8833,0.7166,0.6,0.91,0.8
layered_small_seed2,baseline,first,0.5333,0.8167,0.5333,0.5333,0.85,0.65,0.7333,0.8967,0.7833,0.8333,0.92,0.85
layered_small_seed2,baseline,last,0.4,0.8133,0.5166,0.5,0.84,0.6,0.5667,0.8867,0.7333,0.6,0.91,0.8
layered_small_seed2,hetero_w8,heaviest,0.4,0.8133,0.5166,0.4667,0.8367,0.5833,0.5333,0.8833,0.7166,0.6667,0.91,0.8
layered_small_seed2,hetero_w8,first,0.5,0.8167,0.5334,0.6,0.8467,0.6334,0.7333,0.9,0.8,0.8333,0.9233,0.8666
layered_small_seed2,hetero_w8,last,0.4,0.8133,0.5166,0.4667,0.8367,0.5833,0.5333,0.8833,0.7166,0.7,0.9133,0.8166
layered_small_seed2,conc_w8,heaviest,0.4333,0.8067,0.5,0.5667,0.8333,0.6,0.7,0.8667,0.7,0.8,0.91,0.8334
layered_small_seed2,conc_w8,first,0.4,0.8133,0.5166,0.5333,0.8433,0.6166,0.6667,0.8833,0.7167,0.8667,0.9333,0.8834
layered_small_seed2,conc_w8,last,0.4333,0.8133,0.5,0.5333,0.8567,0.6333,0.7667,0.9067,0.7834,0.8667,0.9367,0.8834
layered_small_seed2,full_w8_8,heaviest,0.4333,0.81,0.5,0.5667,0.84,0.6,0.7,0.88,0.7,0.7667,0.9167,0.8334
layered_small_seed2,full_w8_8,first,0.4333,0.81,0.5,0.5667,0.8433,0.6167,0.7,0.8833,0.7166,0.8,0.9233,0.8666
layered_small_seed2,full_w8_8,last,0.4,0.8133,0.5166,0.6,0.8567,0.6834,0.7333,0.8967,0.7833,0.8667,0.9267,0.8834
layered_small_seed3,baseline,heaviest,0.3333,0.69,0.5,0.5,0.7467,0.6,0.5667,0.83,0.7333,0.7,0.9067,0.85
layered_small_seed3,baseline,first,0.2667,0.7,0.5,0.3333,0.7767,0.6,0.5667,0.86,0.75,0.7333,0.9167,0.85
layered_small_seed3,baseline,last,0.3333,0.6934,0.5,0.5,0.7633,0.6,0.5667,0.8333,0.7333,0.7667,0.91,0.85
layered_small_seed3,hetero_w8,heaviest,0.2333,0.6767,0.4667,0.3667,0.74,0.6,0.4667,0.8233,0.7,0.7667,0.9067,0.85
layered_small_seed3,hetero_w8,first,0.2667,0.6867,0.4833,0.5,0.7566,0.6,0.6667,0.8367,0.7167,0.7333,0.9167,0.85
layered_small_seed3,hetero_w8,last,0.2333,0.6867,0.4833,0.4,0.7633,0.6334,0.5333,0.8433,0.7166,0.8,0.9267,0.8666
layered_small_seed3,conc_w8,heaviest,0.2667,0.67,0.45,0.3667,0.7167,0.5,0.5667,0.8067,0.65,0.7,0.8967,0.8
layered_small_seed3,conc_w8,first,0.3,0.7033,0.5166,0.5333,0.78,0.6167,0.6333,0.84,0.7166,0.7667,0.9167,0.8334
layered_small_seed3,conc_w8,last,0.3,0.7033,0.5166,0.4333,0.7767,0.6333,0.6,0.8367,0.7166,0.7667,0.9133,0.8334
layered_small_seed3,full_w8_8,heaviest,0.2333,0.6867,0.5,0.3,0.7467,0.6,0.5,0.8367,0.75,0.7,0.9067,0.85
layered_small_seed3,full_w8_8,first,0.3667,0.7,0.5,0.5667,0.77,0.6,0.7,0.86,0.75,0.8,0.9167,0.85
layered_small_seed3,full_w8_8,last,0.2333,0.6933,0.5,0.3,0.76,0.6,0.5,0.84,0.75,0.7,0.91,0.85
layered_small_seed4,baseline,heaviest,0.5,0.8271,0.7,0.6,0.8625,0.7667,0.6667,0.8979,0.8334,0.8333,0.9375,0.9166
layered_small_seed4,baseline,first,0.5,0.8333,0.7,0.6,0.8729,0.7667,0.7667,0.9104,0.85,0.9,0.9437,0.9333
layered_small_seed4,baseline,last,0.5,0.8333,0.7,0.6667,0.8667,0.7834,0.8333,0.9042,0.8666,0.9,0.9417,0.9333
layered_small_seed4,hetero_w8,heaviest,0.4667,0.825,0.6667,0.5667,0.8604,0.7333,0.6667,0.8958,0.8,0.8,0.9312,0.8666
