instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
industry_test_1,milp,0.0,0.0,29871.78,0,0,baseline,0,0,False,3166409,35,106,17,600.697,100.024,3166409,600.697,3166409,600.697,0,False,10,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802,1.0,0.8022,0.0046,0.9819,0.9833,0.8331,0.9819,0.8912,0.9832,0.957,0.9592,0.9661,0.9702,0.0133,0.063,0.2049,0.2865,3166409,2767853,398556,[]
industry_test_1,milp,0.0,0.0,29871.78,0,0,hetero_w8,8,0,False,3166409,35,106,17,600.697,100.021,3166409,600.697,3166409,600.697,0,False,0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9804,1.0,0.8044,0.0042,0.9821,0.9835,0.8355,0.9821,0.8912,0.9835,0.9569,0.9594,0.9672,0.9716,0.0093,0.0584,0.2294,0.3276,3166409,2769429,396980,[]
industry_test_1,milp,0.0,0.0,29871.78,0,0,conc_w8,0,8,False,3166409,35,106,17,600.697,100.02,3166409,600.697,3166409,600.697,0,False,4,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9837,1.0,0.8384,0.0025,0.9851,0.9868,0.8708,0.9851,0.9164,0.9868,0.9576,0.9615,0.9675,0.973,0.0245,0.1061,0.2076,0.3395,3166409,2830857,335552,[]
industry_test_1,milp,0.0,0.0,29871.78,0,0,full_w8_8,8,8,False,3166409,35,106,17,600.697,100.021,3166409,600.697,3166409,600.697,0,False,0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9838,1.0,0.8398,0.0025,0.9852,0.987,0.8721,0.9852,0.8959,0.9869,0.9575,0.9615,0.9676,0.9735,0.0219,0.0981,0.2115,0.3462,3166409,3104737,61672,[]
