instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
layered_small_seed1,milp,8.0,0.0,108.16,865,0,full_w16_16,16,16,True,5072,9,35,1,0.244,60.009,5072,0.244,5072,0.244,0,False,1,19,0.6667,0.6667,0.7,0.8,0.8333,0.0,0.1,0.3,0.4667,0.9376,0.9667,0.8524,0.0,0.9376,0.9378,0.85,0.9376,0.9,0.9378,0.7889,0.8241,0.863,0.9148,0.0,0.1334,0.3166,0.5,5072,4880,192,[]
layered_small_seed1,milp,8.0,8.0,108.16,865,865,baseline,0,0,True,5094,9,34,0,0.096,0.111,5094,0.096,5094,0.096,0,True,5,33,0.6667,0.6667,0.7,0.7667,0.8333,0.0,0.1,0.2333,0.5333,0.9302,0.9333,0.8611,0.0,0.9302,0.9302,0.8611,0.9302,0.9,0.9302,0.7907,0.8333,0.8722,0.9222,0.0,0.1667,0.3,0.5666,5094,4284,810,[]
layered_small_seed1,milp,8.0,8.0,108.16,865,865,hetero_w16,16,0,True,5094,9,34,0,0.096,0.591,5094,0.096,5094,0.096,0,True,1,33,0.6667,0.6667,0.7333,0.7667,0.8333,0.0,0.1667,0.3333,0.5667,0.9302,0.9333,0.8667,0.0,0.9302,0.9302,0.8667,0.9302,0.9,0.9302,0.7907,0.8352,0.8759,0.9259,0.0,0.1667,0.3333,0.5833,5094,4284,810,[]
layered_small_seed1,milp,8.0,8.0,108.16,865,865,conc_w16,0,16,True,5094,9,34,0,0.096,60.01,5094,0.096,5094,0.096,0,False,7,17,0.6667,0.6667,0.6667,0.6667,0.8,0.0,0.0667,0.2,0.4667,0.9372,0.9667,0.8389,0.0,0.9372,0.9372,0.8389,0.9372,0.9,0.9372,0.7944,0.8222,0.8704,0.9222,0.0,0.1167,0.3,0.5833,5094,4892,202,[]
layered_small_seed1,milp,8.0,8.0,108.16,865,865,full_w16_16,16,16,True,5094,9,34,0,0.096,60.009,5094,0.096,5094,0.096,0,False,2,19,0.6667,0.6667,0.7,0.8,0.8667,0.0,0.0667,0.3333,0.5333,0.9351,0.9667,0.8667,0.0,0.9351,0.9351,0.8667,0.9351,0.9167,0.9351,0.7907,0.8315,0.8796,0.9278,0.0,0.1334,0.35,0.55,5094,4828,266,[]
layered_small_seed1,milp,8.0,16.0,108.16,865,1731,baseline,0,0,True,5094,9,34,0,0.175,0.126,5094,0.175,5094,0.175,0,True,3,26,0.6667,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.2,0.3333,0.9309,0.95,0.85,0.0,0.9309,0.9309,0.85,0.9309,0.9,0.9309,0.7926,0.8296,0.8685,0.9185,0.0,0.0833,0.2834,0.4833,5094,4284,810,[]
layered_small_seed1,milp,8.0,16.0,108.16,865,1731,hetero_w16,16,0,True,5094,9,34,0,0.175,0.526,5094,0.175,5094,0.175,0,True,1,30,0.6667,0.6667,0.7,0.8,0.8333,0.0,0.1,0.3,0.5,0.9309,0.9333,0.8611,0.0,0.9309,0.9309,0.8611,0.9309,0.9,0.9309,0.7926,0.8352,0.8741,0.9241,0.0,0.15,0.3166,0.5167,5094,4284,810,[]
layered_small_seed1,milp,8.0,16.0,108.16,865,1731,conc_w16,0,16,True,5094,9,34,0,0.175,60.01,5094,0.175,5094,0.175,0,False,7,17,0.6667,0.6667,0.6667,0.7667,0.8,0.0,0.0,0.2667,0.4333,0.9398,0.9667,0.8476,0.0,0.9398,0.9398,0.8476,0.9398,0.9,0.9398,0.7981,0.8222,0.8722,0.9204,0.0167,0.0833,0.3334,0.55,5094,4934,160,[]
layered_small_seed1,milp,8.0,16.0,108.16,865,1731,full_w16_16,16,16,True,5094,9,34,0,0.175,60.01,5094,0.175,5094,0.175,0,False,2,20,0.6667,0.6667,0.7,0.8,0.8333,0.0,0.1,0.3333,0.4333,0.9357,0.9667,0.8611,0.0,0.9356,0.9357,0.8611,0.9356,0.9,0.9356,0.7926,0.8278,0.8778,0.9241,0.0,0.1,0.35,0.4833,5094,4828,266,[]
layered_small_seed1,milp,16.0,0.0,108.16,1731,0,baseline,0,0,True,5072,9,35,1,0.203,0.597,5072,0.203,5072,0.203,0,True,3,34,0.6667,0.6667,0.7333,0.7667,0.8333,0.0,0.1667,0.3,0.5333,0.9284,0.9333,0.8611,0.0,0.9284,0.9282,0.8667,0.9284,0.9,0.9282,0.7907,0.8333,0.8704,0.9222,0.0,0.1833,0.35,0.5666,5072,4038,1034,[]
