instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,cvar_alpha_single_0.2,cvar_alpha_single_0.4,cvar_alpha_single_0.6,cvar_alpha_single_0.8,cvar_alpha_global_0.2,cvar_alpha_global_0.4,cvar_alpha_global_0.6,cvar_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
industry_test_1,milp,4.0,0.0,29871.78,119487,0,baseline,0,0,False,5131317,93,159,76,600.888,100.017,5131317,600.888,5131317,600.888,0,False,14,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9849,1.0,0.8489,0.0002,0.987,0.9899,0.8997,0.987,0.8932,0.9888,0.9809,0.9817,0.983,0.984,0.0272,0.0776,0.1664,0.2235,0.9225,0.9249,0.9344,0.9371,0.0,0.0,0.0005,0.0027,4653369,4141569,511800,[]
industry_test_1,milp,4.0,0.0,29871.78,119487,0,hetero_w8,8,0,False,5131317,93,159,76,600.888,100.017,5131317,600.888,5131317,600.888,0,False,0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9849,1.0,0.8489,0.0002,0.987,0.9899,0.9008,0.987,0.8932,0.9888,0.981,0.9818,0.9834,0.9845,0.0351,0.0875,0.1916,0.2699,0.9232,0.9267,0.9381,0.9417,0.0,0.0,0.006,0.0153,4653369,4141569,511800,[]
industry_test_1,milp,4.0,0.0,29871.78,119487,0,conc_w8,0,8,False,5131317,93,159,76,600.888,100.016,5131317,600.888,5131317,600.888,0,False,8,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867,1.0,0.8671,0.0002,0.9885,0.9923,0.9235,0.9885,0.8932,0.9914,0.9808,0.9815,0.9833,0.9844,0.0206,0.0623,0.1691,0.2401,0.9216,0.9238,0.936,0.9401,0.0,0.0,0.0132,0.0205,4653369,4653305,64,[]
industry_test_1,milp,4.0,0.0,29871.78,119487,0,full_w8_8,8,8,False,5131317,93,159,76,600.888,100.016,5131317,600.888,5131317,600.888,0,False,0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865,1.0,0.8656,0.0002,0.9884,0.9921,0.9225,0.9884,0.8932,0.9912,0.9808,0.9815,0.9835,0.9845,0.0239,0.0663,0.1797,0.2473,0.922,0.9244,0.9371,0.9405,0.0,0.0,0.0053,0.0129,4653369,4419889,233480,[]
