instance,solver,w_net,w_flow,r_tr_arc,r_resource,nri_resource,cvar_resource,worst_res_frac,worst_res,n_resources
layered_small_seed5,milp,4.0,0.0,0.6667,0.1333,0.375,0.3667,0.3667,tr2,2
layered_medium_seed1,milp,4.0,4.0,0.3,0.0333,0.3722,0.0778,0.0778,tr2,2
layered_medium_seed2,milp,4.0,4.0,0.6667,0.0667,0.3389,0.3,0.3,tr2,2
layered_medium_seed3,milp,4.0,4.0,0.6667,0.0,0.45,0.1,0.1,tr2,2
layered_medium_seed4,milp,4.0,4.0,0.6667,0.0,0.4056,0.0,0.0,tr1,2
layered_medium_seed5,milp,4.0,4.0,0.6667,0.0,0.4667,0.1,0.1,tr1,2
layered_small_seed1,milp,4.0,4.0,0.6667,0.0,0.3583,0.0,0.0,tr1,2
layered_small_seed2,milp,4.0,4.0,0.6667,0.3333,0.5,0.4166,0.4166,tr1,2
layered_small_seed3,milp,4.0,4.0,0.6333,0.3333,0.4416,0.3833,0.3833,tr2,2
layered_small_seed4,milp,4.0,4.0,0.6667,0.0,0.3917,0.15,0.15,tr2,2
layered_small_seed5,milp,4.0,4.0,0.6667,0.1333,0.4416,0.3333,0.3333,tr2,2
layered_medium_seed1,milp,4.0,8.0,0.3,0.0,0.3722,0.0778,0.0778,tr2,2
layered_medium_seed2,milp,4.0,8.0,0.6667,0.0667,0.3667,0.3,0.3,tr2,2
layered_medium_seed3,milp,4.0,8.0,0.6667,0.0333,0.4611,0.1111,0.1111,tr2,2
layered_medium_seed4,milp,4.0,8.0,0.6667,0.0,0.4056,0.0222,0.0222,tr1,2
layered_medium_seed5,milp,4.0,8.0,0.6667,0.0,0.4333,0.0667,0.0667,tr1,2
layered_small_seed1,milp,4.0,8.0,0.6667,0.0,0.3583,0.0,0.0,tr1,2
layered_small_seed2,milp,4.0,8.0,0.6667,0.3333,0.5,0.4166,0.4166,tr1,2
layered_small_seed3,milp,4.0,8.0,0.6333,0.3667,0.4583,0.4,0.4,tr2,2
layered_small_seed4,milp,4.0,8.0,0.6667,0.0,0.3917,0.15,0.15,tr2,2
layered_small_seed5,milp,4.0,8.0,0.6667,0.1333,0.4833,0.3166,0.3166,tr2,2
