instance_size,weight,s2_config,r_tr_mean,r_tr_std,r_tr_ci_lo,r_tr_ci_hi,r_tr_n,r_1_mean,r_1_std,r_1_ci_lo,r_1_ci_hi,r_1_n,k_1_mean,k_1_std,k_1_ci_lo,k_1_ci_hi,k_1_n,nominal_cost_mean,nominal_cost_std,nominal_cost_ci_lo,nominal_cost_ci_hi,nominal_cost_n,s1_dispatch_cost_mean,s1_dispatch_cost_std,s1_dispatch_cost_ci_lo,s1_dispatch_cost_ci_hi,s1_dispatch_cost_n,s2_dispatch_cost_mean,s2_dispatch_cost_std,s2_dispatch_cost_ci_lo,s2_dispatch_cost_ci_hi,s2_dispatch_cost_n,s1_time_mean,s1_time_std,s1_time_ci_lo,s1_time_ci_hi,s1_time_n,s2_time_mean,s2_time_std,s2_time_ci_lo,s2_time_ci_hi,s2_time_n,r_heaviest_single_0.2_mean,r_heaviest_single_0.2_std,r_heaviest_single_0.2_ci_lo,r_heaviest_single_0.2_ci_hi,r_heaviest_single_0.2_n,r_heaviest_single_0.4_mean,r_heaviest_single_0.4_std,r_heaviest_single_0.4_ci_lo,r_heaviest_single_0.4_ci_hi,r_heaviest_single_0.4_n,r_heaviest_single_0.6_mean,r_heaviest_single_0.6_std,r_heaviest_single_0.6_ci_lo,r_heaviest_single_0.6_ci_hi,r_heaviest_single_0.6_n,r_heaviest_single_0.8_mean,r_heaviest_single_0.8_std,r_heaviest_single_0.8_ci_lo,r_heaviest_single_0.8_ci_hi,r_heaviest_single_0.8_n,r_heaviest_global_0.2_mean,r_heaviest_global_0.2_std,r_heaviest_global_0.2_ci_lo,r_heaviest_global_0.2_ci_hi,r_heaviest_global_0.2_n,r_heaviest_global_0.4_mean,r_heaviest_global_0.4_std,r_heaviest_global_0.4_ci_lo,r_heaviest_global_0.4_ci_hi,r_heaviest_global_0.4_n,r_heaviest_global_0.6_mean,r_heaviest_global_0.6_std,r_heaviest_global_0.6_ci_lo,r_heaviest_global_0.6_ci_hi,r_heaviest_global_0.6_n,r_heaviest_global_0.8_mean,r_heaviest_global_0.8_std,r_heaviest_global_0.8_ci_lo,r_heaviest_global_0.8_ci_hi,r_heaviest_global_0.8_n
large,0,even,0.5533,0.0691,0.5067,0.6134,5,0.82,0.0606,0.7733,0.8667,5,0.82,0.0606,0.7733,0.8667,5,12235.6,3028.915,9665.0,14467.8,5,12235.6,3028.915,9665.0,14467.8,5,11765.8,2822.2207,9497.2,13920.6,5,108.0756,16.4423,96.0646,120.085,5,600.0176,0.0009,600.017,600.0184,5,0.5867,0.0691,0.54,0.6467,5,0.6334,0.085,0.5734,0.7067,5,0.6734,0.0723,0.6134,0.7267,5,0.7267,0.0723,0.6733,0.78,5,0.0,0.0,0.0,0.0,5,0.0267,0.0279,0.0067,0.0467,5,0.1067,0.1038,0.0333,0.1933,5,0.2,0.2014,0.0533,0.3733,5
large,0,full,0.5533,0.0691,0.5067,0.6134,5,0.8267,0.0494,0.7867,0.8667,5,0.8267,0.0494,0.7867,0.8667,5,12235.6,3028.915,9665.0,14467.8,5,12235.6,3028.915,9665.0,14467.8,5,11741.0,2811.4889,9507.8,13898.4,5,108.0756,16.4423,96.0646,120.085,5,600.0172,0.0008,600.0166,600.0178,5,0.5867,0.0691,0.54,0.6467,5,0.64,0.0641,0.5933,0.6933,5,0.6867,0.0767,0.62,0.74,5,0.7467,0.1017,0.66,0.82,5,0.0067,0.0149,0.0,0.02,5,0.0333,0.0236,0.0133,0.0533,5,0.1267,0.0863,0.0533,0.1933,5,0.2067,0.1461,0.0933,0.32,5
large,1000000,baseline,0.6734,0.0149,0.6667,0.6867,5,0.8267,0.0435,0.8,0.8667,5,0.8267,0.0435,0.8,0.8667,5,13482.8,3053.1441,11135.2,15830.4,5,13482.8,3053.1441,11135.2,15830.4,5,11222.8,2782.8535,9091.8,13411.0,5,90.0586,30.019,66.0434,114.0738,5,474.695,174.7038,330.8344,600.0154,5,0.68,0.0182,0.6667,0.6933,5,0.6933,0.0279,0.6734,0.7133,5,0.7267,0.0494,0.6867,0.7667,5,0.7867,0.0298,0.76,0.8,5,0.0067,0.0149,0.0,0.02,5,0.0267,0.0435,0.0,0.0667,5,0.08,0.1096,0.0133,0.1734,5,0.2333,0.1178,0.16,0.3333,5
large,1000000,mixed,0.6734,0.0149,0.6667,0.6867,5,0.86,0.0279,0.84,0.88,5,0.86,0.0279,0.84,0.88,5,13482.8,3053.1441,11135.2,15830.4,5,13482.8,3053.1441,11135.2,15830.4,5,11359.6,2939.3712,9091.8,13627.4,5,90.0586,30.019,66.0434,114.0738,5,600.0212,0.0074,600.0168,600.0278,5,0.6734,0.0149,0.6667,0.6867,5,0.7133,0.0298,0.6867,0.7333,5,0.76,0.0365,0.7333,0.7867,5,0.8467,0.0183,0.8333,0.86,5,0.0067,0.0149,0.0,0.02,5,0.06,0.0365,0.0333,0.0867,5,0.22,0.1386,0.1267,0.3267,5,0.36,0.148,0.26,0.4867,5
large,1000000,even,0.6734,0.0149,0.6667,0.6867,5,0.8333,0.0408,0.8067,0.8667,5,0.8333,0.0408,0.8067,0.8667,5,13482.8,3053.1441,11135.2,15830.4,5,13482.8,3053.1441,11135.2,15830.4,5,12403.6,3075.9153,9996.4,14810.8,5,90.0586,30.019,66.0434,114.0738,5,600.0166,0.003,600.0146,600.019,5,0.6867,0.0182,0.6734,0.7,5,0.72,0.0298,0.6933,0.7333,5,0.7533,0.0298,0.7333,0.78,5,0.8,0.0408,0.7666,0.8266,5,0.0067,0.0149,0.0,0.02,5,0.0467,0.073,0.0,0.1134,5,0.1867,0.107,0.1,0.2733,5,0.3333,0.1333,0.2334,0.44,5
large,1000000,full,0.6734,0.0149,0.6667,0.6867,5,0.84,0.0365,0.8133,0.8733,5,0.84,0.0365,0.8133,0.8733,5,13482.8,3053.1441,11135.2,15830.4,5,13482.8,3053.1441,11135.2,15830.4,5,12335.0,3112.9995,9917.2,14752.8,5,90.0586,30.019,66.0434,114.0738,5,600.0186,0.0027,600.0168,600.021,5,0.68,0.0182,0.6667,0.6933,5,0.7067,0.0279,0.6867,0.7266,5,0.7267,0.0279,0.7067,0.7467,5,0.7866,0.0506,0.7466,0.8266,5,0.0,0.0,0.0,0.0,5,0.0333,0.0334,0.0067,0.06,5,0.14,0.0796,0.08,0.2,5,0.3067,0.1038,0.2267,0.3867,5
xlarge,0,baseline,0.6267,0.0641,0.5867,0.68,5,0.7533,0.0298,0.7333,0.78,5,0.7533,0.0298,0.7333,0.78,5,15030.4,2249.2199,13604.6,17015.0,5,15030.4,2249.2199,13604.6,17015.0,5,10526.0,1932.01,8907.0,12017.0,5,96.151,13.4372,90.1062,108.1722,5,600.021,0.0105,600.0138,600.03,5,0.6333,0.0667,0.5867,0.6933,5,0.6333,0.0667,0.5867,0.6933,5,0.6333,0.0667,0.5867,0.6933,5,0.7133,0.065,0.6666,0.76,5,0.0,0.0,0.0,0.0,5,0.0067,0.0149,0.0,0.02,5,0.0533,0.0505,0.02,0.0933,5,0.1267,0.0796,0.06,0.18,5
xlarge,0,mixed,0.6267,0.0641,0.5867,0.68,5,0.8133,0.038,0.7867,0.8467,5,0.8133,0.038,0.7867,0.8467,5,15030.4,2249.2199,13604.6,17015.0,5,15030.4,2249.2199,13604.6,17015.0,5,10526.0,1932.01,8907.0,12017.0,5,96.151,13.4372,90.1062,108.1722,5,600.0244,0.0073,600.0188,600.03,5,0.6267,0.0641,0.5867,0.68,5,0.6533,0.073,0.6,0.7133,5,0.7,0.0624,0.6533,0.7467,5,0.8067,0.0435,0.7734,0.84,5,0.0,0.0,0.0,0.0,5,0.0133,0.0182,0.0,0.0266,5,0.0733,0.0596,0.0267,0.12,5,0.1333,0.0972,0.06,0.2133,5
xlarge,0,even,0.6267,0.0641,0.5867,0.68,5,0.7867,0.038,0.7533,0.8133,5,0.7867,0.038,0.7533,0.8133,5,15030.4,2249.2199,13604.6,17015.0,5,15030.4,2249.2199,13604.6,17015.0,5,12164.0,2205.5789,10593.95,14014.6,5,96.151,13.4372,90.1062,108.1722,5,600.0286,0.0122,600.0196,600.0376,5,0.6467,0.065,0.6,0.7,5,0.6867,0.0901,0.62,0.76,5,0.7267,0.0683,0.6734,0.78,5,0.7467,0.0691,0.6933,0.8,5,0.0,0.0,0.0,0.0,5,0.0133,0.0182,0.0,0.0266,5,0.0667,0.0236,0.0467,0.0867,5,0.1267,0.0641,0.0867,0.18,5
xlarge,0,full,0.6267,0.0641,0.5867,0.68,5,0.7933,0.0548,0.7467,0.8266,5,0.7933,0.0548,0.7467,0.8266,5,15030.4,2249.2199,13604.6,17015.0,5,15030.4,2249.2199,13604.6,17015.0,5,12596.6,2216.8973,11012.6,14476.8,5,96.151,13.4372,90.1062,108.1722,5,600.0272,0.0101,600.0194,600.035,5,0.6467,0.0558,0.6067,0.6933,5,0.6667,0.085,0.6067,0.74,5,0.72,0.09,0.6533,0.7933,5,0.7267,0.083,0.6667,0.7933,5,0.0,0.0,0.0,0.0,5,0.0067,0.0149,0.0,0.02,5,0.08,0.0298,0.0533,0.1,5,0.12,0.038,0.0867,0.1467,5
xlarge,1000000,baseline,0.68,0.0182,0.6667,0.6933,5,0.78,0.0298,0.7533,0.8,5,0.78,0.0298,0.7533,0.8,5,16472.6,3017.1144,14416.2,18998.2,5,16472.6,3017.1144,14416.2,18998.2,5,13073.0,3087.6158,10997.0,15684.2,5,72.1058,16.4438,60.0884,84.1232,5,600.0174,0.0035,600.0146,600.02,5,0.6933,0.0279,0.6734,0.7133,5,0.7133,0.038,0.6867,0.7467,5,0.72,0.038,0.6867,0.7467,5,0.76,0.0279,0.74,0.78,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0267,0.0435,0.0,0.0667,5,0.0467,0.0447,0.0133,0.08,5
xlarge,1000000,mixed,0.68,0.0182,0.6667,0.6933,5,0.7867,0.038,0.7533,0.8133,5,0.7867,0.038,0.7533,0.8133,5,16472.6,3017.1144,14416.2,18998.2,5,16472.6,3017.1144,14416.2,18998.2,5,13105.0,3090.8917,11025.8,15716.2,5,72.1058,16.4438,60.0884,84.1232,5,600.0272,0.0145,600.0168,600.0394,5,0.6867,0.0182,0.6734,0.7,5,0.7,0.0333,0.6734,0.7266,5,0.7467,0.0505,0.7067,0.78,5,0.7867,0.038,0.7533,0.8133,5,0.0,0.0,0.0,0.0,5,0.0133,0.0182,0.0,0.0266,5,0.0467,0.038,0.02,0.0734,5,0.1133,0.0731,0.06,0.1667,5
xlarge,1000000,even,0.68,0.0182,0.6667,0.6933,5,0.7867,0.038,0.7533,0.8133,5,0.7867,0.038,0.7533,0.8133,5,16472.6,3017.1144,14416.2,18998.2,5,16472.6,3017.1144,14416.2,18998.2,5,14560.8,3325.8112,12407.4,17392.4,5,72.1058,16.4438,60.0884,84.1232,5,600.0262,0.0082,600.0198,600.0326,5,0.6867,0.0298,0.6667,0.7133,5,0.7133,0.0298,0.6867,0.7333,5,0.7467,0.038,0.72,0.78,5,0.7733,0.0279,0.7533,0.7933,5,0.0,0.0,0.0,0.0,5,0.0067,0.0149,0.0,0.02,5,0.06,0.0279,0.04,0.08,5,0.1533,0.0767,0.0933,0.2133,5
xlarge,1000000,full,0.68,0.0182,0.6667,0.6933,5,0.7933,0.0435,0.76,0.8266,5,0.7933,0.0435,0.76,0.8266,5,16472.6,3017.1144,14416.2,18998.2,5,16472.6,3017.1144,14416.2,18998.2,5,14977.6,3294.114,12925.6,17821.0,5,72.1058,16.4438,60.0884,84.1232,5,600.0304,0.0116,600.0216,600.0392,5,0.7,0.0333,0.6734,0.7266,5,0.7333,0.0408,0.7,0.76,5,0.76,0.0365,0.7333,0.7867,5,0.7933,0.0435,0.76,0.8266,5,0.0,0.0,0.0,0.0,5,0.0133,0.0182,0.0,0.0266,5,0.06,0.0494,0.0266,0.1,5,0.1333,0.0943,0.06,0.2067,5
industrylite,0,baseline,0.725,0.0166,0.7083,0.7333,4,0.825,0.0166,0.8083,0.8333,4,0.825,0.0166,0.8083,0.8333,4,33232.0,8549.8782,26660.5,41644.0,4,33232.0,8549.8782,26660.5,41644.0,4,26464.25,4509.6865,23570.0,30721.25,4,90.2685,42.4943,60.244,127.8678,4,600.0277,0.0053,600.0235,600.032,4,0.75,0.0193,0.7333,0.7667,4,0.7917,0.0166,0.775,0.8,4,0.825,0.0166,0.8083,0.8333,4,0.825,0.0166,0.8083,0.8333,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0083,0.0167,0.0,0.025,4,0.0583,0.0319,0.0333,0.0834,4
industrylite,0,mixed,0.725,0.0166,0.7083,0.7333,4,0.825,0.0166,0.8083,0.8333,4,0.825,0.0166,0.8083,0.8333,4,33232.0,8549.8782,26660.5,41644.0,4,33232.0,8549.8782,26660.5,41644.0,4,26464.25,4509.6865,23570.0,30721.25,4,90.2685,42.4943,60.244,127.8678,4,600.0297,0.0078,600.0232,600.037,4,0.7583,0.05,0.7167,0.8,4,0.7917,0.0166,0.775,0.8,4,0.825,0.0166,0.8083,0.8333,4,0.825,0.0166,0.8083,0.8333,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.025,0.0319,0.0,0.05,4,0.075,0.05,0.025,0.1,4
industrylite,0,even,0.725,0.0166,0.7083,0.7333,4,0.8333,0.0,0.8333,0.8333,4,0.8333,0.0,0.8333,0.8333,4,33232.0,8549.8782,26660.5,41644.0,4,33232.0,8549.8782,26660.5,41644.0,4,29494.0,5574.0181,25424.0,34425.75,4,90.2685,42.4943,60.244,127.8678,4,600.0308,0.0067,600.0255,600.036,4,0.75,0.0334,0.7167,0.7667,4,0.775,0.05,0.725,0.8,4,0.8,0.0667,0.7333,0.8333,4,0.825,0.0166,0.8083,0.8333,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0333,0.0471,0.0,0.075,4,0.1167,0.0577,0.075,0.175,4
industrylite,0,full,0.725,0.0166,0.7083,0.7333,4,0.8333,0.0,0.8333,0.8333,4,0.8333,0.0,0.8333,0.8333,4,33232.0,8549.8782,26660.5,41644.0,4,33232.0,8549.8782,26660.5,41644.0,4,29663.5,5871.559,25393.5,34879.0,4,90.2685,42.4943,60.244,127.8678,4,600.0335,0.0115,600.0242,600.0425,4,0.7417,0.0319,0.7167,0.7667,4,0.8,0.0,0.8,0.8,4,0.8083,0.0166,0.8,0.825,4,0.8333,0.0,0.8333,0.8333,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0333,0.0272,0.0083,0.0583,4,0.1,0.1187,0.0167,0.2083,4
industrylite,1000000,baseline,0.7167,0.043,0.6833,0.75,4,0.825,0.0419,0.7834,0.8583,4,0.825,0.0419,0.7834,0.8583,4,30137.5,5963.0206,25957.5,35539.25,4,30137.5,5963.0206,25957.5,35539.25,4,25977.25,5365.2084,21973.5,30991.25,4,135.3142,38.8578,105.2015,165.427,4,600.032,0.0122,600.022,600.042,4,0.7167,0.043,0.6833,0.75,4,0.7333,0.0609,0.6833,0.7833,4,0.7667,0.0861,0.7,0.8334,4,0.825,0.0419,0.7834,0.8583,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0333,0.0385,0.0,0.0667,4,0.05,0.043,0.0167,0.0834,4
industrylite,1000000,mixed,0.7167,0.043,0.6833,0.75,4,0.8167,0.043,0.7833,0.85,4,0.8167,0.043,0.7833,0.85,4,30137.5,5963.0206,25957.5,35539.25,4,30137.5,5963.0206,25957.5,35539.25,4,25977.25,5365.2084,21973.5,30991.25,4,135.3142,38.8578,105.2015,165.427,4,600.0315,0.0098,600.023,600.04,4,0.7333,0.0609,0.6833,0.7833,4,0.7667,0.0544,0.7167,0.8166,4,0.8,0.0471,0.7667,0.8417,4,0.8167,0.043,0.7833,0.85,4,0.0,0.0,0.0,0.0,4,0.0083,0.0167,0.0,0.025,4,0.0583,0.0569,0.0167,0.1083,4,0.1,0.1054,0.0167,0.1833,4
industrylite,1000000,even,0.7167,0.043,0.6833,0.75,4,0.8,0.0471,0.7667,0.8417,4,0.8,0.0471,0.7667,0.8417,4,30137.5,5963.0206,25957.5,35539.25,4,30137.5,5963.0206,25957.5,35539.25,4,28437.0,5957.8359,24255.5,33903.25,4,135.3142,38.8578,105.2015,165.427,4,600.0308,0.0098,600.0225,600.039,4,0.725,0.0569,0.6833,0.775,4,0.7333,0.072,0.6833,0.8,4,0.775,0.0739,0.7167,0.8334,4,0.8,0.0471,0.7667,0.8417,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0583,0.0319,0.0333,0.0834,4,0.0833,0.0578,0.0416,0.1417,4
industrylite,1000000,full,0.7167,0.043,0.6833,0.75,4,0.8167,0.043,0.7833,0.85,4,0.8167,0.043,0.7833,0.85,4,30137.5,5963.0206,25957.5,35539.25,4,30137.5,5963.0206,25957.5,35539.25,4,28646.0,6308.5967,24195.0,34380.0,4,135.3142,38.8578,105.2015,165.427,4,600.0322,0.0089,600.025,600.0395,4,0.7167,0.043,0.6833,0.75,4,0.725,0.0569,0.6833,0.775,4,0.75,0.0638,0.7,0.8,4,0.8167,0.043,0.7833,0.85,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0583,0.0319,0.0333,0.0834,4,0.0833,0.043,0.05,0.1167,4
