instance_size,weight,s2_config,r_tr_mean,r_tr_std,r_tr_ci_lo,r_tr_ci_hi,r_tr_n,r_1_mean,r_1_std,r_1_ci_lo,r_1_ci_hi,r_1_n,k_1_mean,k_1_std,k_1_ci_lo,k_1_ci_hi,k_1_n,nominal_cost_mean,nominal_cost_std,nominal_cost_ci_lo,nominal_cost_ci_hi,nominal_cost_n,s1_dispatch_cost_mean,s1_dispatch_cost_std,s1_dispatch_cost_ci_lo,s1_dispatch_cost_ci_hi,s1_dispatch_cost_n,s2_dispatch_cost_mean,s2_dispatch_cost_std,s2_dispatch_cost_ci_lo,s2_dispatch_cost_ci_hi,s2_dispatch_cost_n,s1_time_mean,s1_time_std,s1_time_ci_lo,s1_time_ci_hi,s1_time_n,s2_time_mean,s2_time_std,s2_time_ci_lo,s2_time_ci_hi,s2_time_n,r_heaviest_single_0.2_mean,r_heaviest_single_0.2_std,r_heaviest_single_0.2_ci_lo,r_heaviest_single_0.2_ci_hi,r_heaviest_single_0.2_n,r_heaviest_single_0.4_mean,r_heaviest_single_0.4_std,r_heaviest_single_0.4_ci_lo,r_heaviest_single_0.4_ci_hi,r_heaviest_single_0.4_n,r_heaviest_single_0.6_mean,r_heaviest_single_0.6_std,r_heaviest_single_0.6_ci_lo,r_heaviest_single_0.6_ci_hi,r_heaviest_single_0.6_n,r_heaviest_single_0.8_mean,r_heaviest_single_0.8_std,r_heaviest_single_0.8_ci_lo,r_heaviest_single_0.8_ci_hi,r_heaviest_single_0.8_n,r_heaviest_global_0.2_mean,r_heaviest_global_0.2_std,r_heaviest_global_0.2_ci_lo,r_heaviest_global_0.2_ci_hi,r_heaviest_global_0.2_n,r_heaviest_global_0.4_mean,r_heaviest_global_0.4_std,r_heaviest_global_0.4_ci_lo,r_heaviest_global_0.4_ci_hi,r_heaviest_global_0.4_n,r_heaviest_global_0.6_mean,r_heaviest_global_0.6_std,r_heaviest_global_0.6_ci_lo,r_heaviest_global_0.6_ci_hi,r_heaviest_global_0.6_n,r_heaviest_global_0.8_mean,r_heaviest_global_0.8_std,r_heaviest_global_0.8_ci_lo,r_heaviest_global_0.8_ci_hi,r_heaviest_global_0.8_n
industrylite,0,baseline,0.6667,0.0667,0.6,0.7333,3,0.8444,0.0193,0.8333,0.8667,3,0.8444,0.0193,0.8333,0.8667,3,40494.3333,12010.8603,26842.0,49435.0,3,40494.3333,12010.8603,26842.0,49435.0,3,26031.6667,8952.5166,15954.0,33065.0,3,80.2333,34.6192,60.151,120.208,3,600.033,0.0108,600.024,600.045,3,0.7222,0.0509,0.6667,0.7667,3,0.7556,0.077,0.6667,0.8,3,0.8,0.0333,0.7667,0.8333,3,0.8222,0.0192,0.8,0.8333,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0556,0.0193,0.0333,0.0667,3
industrylite,0,mixed,0.6667,0.0667,0.6,0.7333,3,0.8444,0.0193,0.8333,0.8667,3,0.8444,0.0193,0.8333,0.8667,3,40494.3333,12010.8603,26842.0,49435.0,3,40494.3333,12010.8603,26842.0,49435.0,3,26031.6667,8952.5166,15954.0,33065.0,3,80.2333,34.6192,60.151,120.208,3,600.0337,0.0158,600.02,600.051,3,0.7444,0.0509,0.7,0.8,3,0.7889,0.0192,0.7667,0.8,3,0.8111,0.0192,0.8,0.8333,3,0.8444,0.0193,0.8333,0.8667,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0445,0.0385,0.0,0.0667,3,0.1333,0.1334,0.0,0.2667,3
industrylite,0,even,0.6667,0.0667,0.6,0.7333,3,0.8111,0.0192,0.8,0.8333,3,0.8111,0.0192,0.8,0.8333,3,40494.3333,12010.8603,26842.0,49435.0,3,40494.3333,12010.8603,26842.0,49435.0,3,30344.6667,9281.8588,19763.0,37110.0,3,80.2333,34.6192,60.151,120.208,3,600.0333,0.0153,600.02,600.05,3,0.7,0.0577,0.6667,0.7667,3,0.7111,0.077,0.6667,0.8,3,0.7556,0.0839,0.6667,0.8333,3,0.8,0.0333,0.7667,0.8333,3,0.0,0.0,0.0,0.0,3,0.0222,0.0192,0.0,0.0333,3,0.0333,0.0334,0.0,0.0667,3,0.1444,0.0509,0.1,0.2,3
industrylite,0,full,0.6667,0.0667,0.6,0.7333,3,0.8111,0.0192,0.8,0.8333,3,0.8111,0.0192,0.8,0.8333,3,40494.3333,12010.8603,26842.0,49435.0,3,40494.3333,12010.8603,26842.0,49435.0,3,31399.3333,9413.0378,20580.0,37710.0,3,80.2333,34.6192,60.151,120.208,3,600.034,0.013,600.026,600.049,3,0.7,0.0577,0.6667,0.7667,3,0.7444,0.0509,0.7,0.8,3,0.8,0.0333,0.7667,0.8333,3,0.8111,0.0192,0.8,0.8333,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0333,0.0334,0.0,0.0667,3,0.0556,0.0509,0.0,0.1,3
industrylite,1000,baseline,0.6556,0.0193,0.6333,0.6667,3,0.8222,0.0385,0.8,0.8667,3,0.8222,0.0385,0.8,0.8667,3,32884.3333,3047.7566,30422.0,36293.0,3,32217.6667,1950.5949,30422.0,34293.0,3,26770.6667,3962.6691,22551.0,30413.0,3,100.2367,34.7118,60.155,120.362,3,600.0267,0.0136,600.016,600.042,3,0.6889,0.0694,0.6333,0.7667,3,0.6889,0.0694,0.6333,0.7667,3,0.7111,0.0694,0.6333,0.7667,3,0.8222,0.0385,0.8,0.8667,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0333,0.0334,0.0,0.0667,3,0.0667,0.0334,0.0333,0.1,3
industrylite,1000,mixed,0.6556,0.0193,0.6333,0.6667,3,0.8667,0.0334,0.8333,0.9,3,0.8667,0.0334,0.8333,0.9,3,32884.3333,3047.7566,30422.0,36293.0,3,32217.6667,1950.5949,30422.0,34293.0,3,26783.3333,3965.497,22551.0,30413.0,3,100.2367,34.7118,60.155,120.362,3,600.0303,0.0159,600.017,600.048,3,0.6778,0.0509,0.6333,0.7333,3,0.7333,0.0577,0.7,0.8,3,0.7889,0.0509,0.7333,0.8333,3,0.8556,0.0193,0.8333,0.8667,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.1111,0.0694,0.0333,0.1667,3,0.1222,0.077,0.0333,0.1667,3
industrylite,1000,even,0.6556,0.0193,0.6333,0.6667,3,0.8111,0.0385,0.7667,0.8333,3,0.8111,0.0385,0.7667,0.8333,3,32884.3333,3047.7566,30422.0,36293.0,3,32217.6667,1950.5949,30422.0,34293.0,3,29839.3333,3889.3981,26396.0,34058.0,3,100.2367,34.7118,60.155,120.362,3,600.028,0.0128,600.017,600.042,3,0.6889,0.0694,0.6333,0.7667,3,0.7111,0.0509,0.6667,0.7667,3,0.7111,0.0509,0.6667,0.7667,3,0.7556,0.0839,0.6667,0.8333,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0222,0.0192,0.0,0.0333,3,0.0889,0.0385,0.0667,0.1333,3
industrylite,1000,full,0.6556,0.0193,0.6333,0.6667,3,0.8111,0.0509,0.7667,0.8667,3,0.8111,0.0509,0.7667,0.8667,3,32884.3333,3047.7566,30422.0,36293.0,3,32217.6667,1950.5949,30422.0,34293.0,3,30300.0,3389.6739,27517.0,34075.0,3,100.2367,34.7118,60.155,120.362,3,600.0303,0.0169,600.016,600.049,3,0.6667,0.0334,0.6333,0.7,3,0.7,0.0333,0.6667,0.7333,3,0.7334,0.0577,0.6667,0.7667,3,0.7334,0.0577,0.6667,0.7667,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0333,0.0334,0.0,0.0667,3,0.1,0.0333,0.0667,0.1333,3
industrylite,5000,baseline,0.7,0.0333,0.6667,0.7333,3,0.8222,0.0385,0.8,0.8667,3,0.8222,0.0385,0.8,0.8667,3,32534.0,6347.2601,25215.0,36528.0,3,32534.0,6347.2601,25215.0,36528.0,3,25740.0,4361.6899,20717.0,28570.0,3,90.1883,30.0305,60.151,120.212,3,600.0223,0.0059,600.018,600.029,3,0.7,0.0333,0.6667,0.7333,3,0.7111,0.0385,0.6667,0.7333,3,0.7222,0.0192,0.7,0.7333,3,0.7667,0.0667,0.7,0.8333,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0111,0.0192,0.0,0.0333,3,0.0667,0.0882,0.0,0.1667,3
industrylite,5000,mixed,0.7,0.0333,0.6667,0.7333,3,0.8444,0.0193,0.8333,0.8667,3,0.8444,0.0193,0.8333,0.8667,3,32534.0,6347.2601,25215.0,36528.0,3,32534.0,6347.2601,25215.0,36528.0,3,25740.0,4361.6899,20717.0,28570.0,3,90.1883,30.0305,60.151,120.212,3,600.0213,0.0029,600.018,600.023,3,0.7,0.0333,0.6667,0.7333,3,0.7222,0.0192,0.7,0.7333,3,0.7222,0.0192,0.7,0.7333,3,0.7667,0.0667,0.7,0.8333,3,0.0,0.0,0.0,0.0,3,0.0111,0.0192,0.0,0.0333,3,0.0667,0.0882,0.0,0.1667,3,0.1556,0.1262,0.0667,0.3,3
