instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_large_seed1,layered,large,1,0,3,off_off,0,0,14034,3,0.5333,"(l2,l6,tr1)",0.9,"(l1,l7,tr1,k5)",14,31,False,60.022,"[{""cost"": 53011, ""time"": 0.055}, {""cost"": 47075, ""time"": 0.056}, {""cost"": 46807, ""time"": 0.058}, {""cost"": 46227, ""time"": 0.059}, {""cost"": 46015, ""time"": 0.061}, {""cost"": 44955, ""time"": 0.062}, {""cost"": 44107, ""time"": 0.063}, {""cost"": 43895, ""time"": 0.065}, {""cost"": 43047, ""time"": 0.066}, {""cost"": 42199, ""time"": 0.069}, {""cost"": 42176, ""time"": 0.072}, {""cost"": 42103, ""time"": 0.077}, {""cost"": 42050, ""time"": 0.079}, {""cost"": 41997, ""time"": 0.082}, {""cost"": 41944, ""time"": 0.084}, {""cost"": 41891, ""time"": 0.087}, {""cost"": 41888, ""time"": 0.09}, {""cost"": 41853, ""time"": 0.092}, {""cost"": 41838, ""time"": 0.096}, {""cost"": 41580, ""time"": 0.099}, {""cost"": 41477, ""time"": 0.101}, {""cost"": 41000, ""time"": 0.104}, {""cost"": 40682, ""time"": 0.106}, {""cost"": 40523, ""time"": 0.108}, {""cost"": 40364, ""time"": 0.11}, {""cost"": 40205, ""time"": 0.112}, {""cost"": 40046, ""time"": 0.115}, {""cost"": 39569, ""time"": 0.117}, {""cost"": 39251, ""time"": 0.119}, {""cost"": 38615, ""time"": 0.121}, {""cost"": 38191, ""time"": 0.124}, {""cost"": 38138, ""time"": 0.126}, {""cost"": 38105, ""time"": 0.129}, {""cost"": 38032, ""time"": 0.131}, {""cost"": 37999, ""time"": 0.133}, {""cost"": 37840, ""time"": 0.136}, {""cost"": 37681, ""time"": 0.138}, {""cost"": 37522, ""time"": 0.14}, {""cost"": 37469, ""time"": 0.142}, {""cost"": 37416, ""time"": 0.145}, {""cost"": 37300, ""time"": 0.147}, {""cost"": 37247, ""time"": 0.15}, {""cost"": 37204, ""time"": 0.154}, {""cost"": 37151, ""time"": 0.156}, {""cost"": 37141, ""time"": 0.159}, {""cost"": 37108, ""time"": 0.162}, {""cost"": 37098, ""time"": 0.165}, {""cost"": 37045, ""time"": 0.166}, {""cost"": 37015, ""time"": 0.17}, {""cost"": 36972, ""time"": 0.173}, {""cost"": 36962, ""time"": 0.176}, {""cost"": 36949, ""time"": 0.179}, {""cost"": 36934, ""time"": 0.183}, {""cost"": 36881, ""time"": 0.185}, {""cost"": 36856, ""time"": 0.187}, {""cost"": 36846, ""time"": 0.19}, {""cost"": 36740, ""time"": 0.192}, {""cost"": 36712, ""time"": 0.195}, {""cost"": 36659, ""time"": 0.198}, {""cost"": 36654, ""time"": 0.2}, {""cost"": 36644, ""time"": 0.202}, {""cost"": 36591, ""time"": 0.204}, {""cost"": 36538, ""time"": 0.206}, {""cost"": 36520, ""time"": 0.209}, {""cost"": 36500, ""time"": 0.211}, {""cost"": 36457, ""time"": 0.213}, {""cost"": 36404, ""time"": 0.217}, {""cost"": 36399, ""time"": 0.221}, {""cost"": 36283, ""time"": 0.223}, {""cost"": 36248, ""time"": 0.226}, {""cost"": 36190, ""time"": 0.228}, {""cost"": 35610, ""time"": 0.231}, {""cost"": 35378, ""time"": 0.233}, {""cost"": 35360, ""time"": 0.236}, {""cost"": 35302, ""time"": 0.238}, {""cost"": 35030, ""time"": 0.24}, {""cost"": 34740, ""time"": 0.243}, {""cost"": 34450, ""time"": 0.245}, {""cost"": 33870, ""time"": 0.248}, {""cost"": 33782, ""time"": 0.253}, {""cost"": 33777, ""time"": 0.256}, {""cost"": 33724, ""time"": 0.258}, {""cost"": 33694, ""time"": 0.261}, {""cost"": 33578, ""time"": 0.264}, {""cost"": 33545, ""time"": 0.271}, {""cost"": 33538, ""time"": 0.274}, {""cost"": 33323, ""time"": 0.278}, {""cost"": 33230, ""time"": 0.281}, {""cost"": 33127, ""time"": 0.284}, {""cost"": 33021, ""time"": 0.286}, {""cost"": 32968, ""time"": 0.289}, {""cost"": 32862, ""time"": 0.291}, {""cost"": 32756, ""time"": 0.294}, {""cost"": 32703, ""time"": 0.296}, {""cost"": 32685, ""time"": 0.298}, {""cost"": 32569, ""time"": 0.3}, {""cost"": 31865, ""time"": 0.303}, {""cost"": 31388, ""time"": 0.306}, {""cost"": 30911, ""time"": 0.309}, {""cost"": 30593, ""time"": 0.311}, {""cost"": 30434, ""time"": 0.314}, {""cost"": 30275, ""time"": 0.316}, {""cost"": 30116, ""time"": 0.318}, {""cost"": 29957, ""time"": 0.321}, {""cost"": 29904, ""time"": 0.324}, {""cost"": 29846, ""time"": 0.327}, {""cost"": 29788, ""time"": 0.33}, {""cost"": 29765, ""time"": 0.333}, {""cost"": 29417, ""time"": 0.336}, {""cost"": 29301, ""time"": 0.339}, {""cost"": 29283, ""time"": 0.342}, {""cost"": 29167, ""time"": 0.345}, {""cost"": 29124, ""time"": 0.349}, {""cost"": 29008, ""time"": 0.354}, {""cost"": 28718, ""time"": 0.359}, {""cost"": 28663, ""time"": 0.363}, {""cost"": 27868, ""time"": 0.367}, {""cost"": 27603, ""time"": 0.37}, {""cost"": 27255, ""time"": 0.373}, {""cost"": 26907, ""time"": 0.375}, {""cost"": 25863, ""time"": 0.378}, {""cost"": 25515, ""time"": 0.381}, {""cost"": 25485, ""time"": 0.384}, {""cost"": 25326, ""time"": 0.386}, {""cost"": 25167, ""time"": 0.389}, {""cost"": 25061, ""time"": 0.391}, {""cost"": 25008, ""time"": 0.394}, {""cost"": 24955, ""time"": 0.396}, {""cost"": 24849, ""time"": 0.399}, {""cost"": 24796, ""time"": 0.401}, {""cost"": 22676, ""time"": 0.404}, {""cost"": 22146, ""time"": 0.406}, {""cost"": 21964, ""time"": 0.409}, {""cost"": 21616, ""time"": 0.412}, {""cost"": 21550, ""time"": 0.415}, {""cost"": 21434, ""time"": 0.418}, {""cost"": 21318, ""time"": 0.42}, {""cost"": 21202, ""time"": 0.423}, {""cost"": 21086, ""time"": 0.426}, {""cost"": 20672, ""time"": 0.429}, {""cost"": 20556, ""time"": 0.431}, {""cost"": 20533, ""time"": 0.434}, {""cost"": 20208, ""time"": 0.438}, {""cost"": 19048, ""time"": 0.44}, {""cost"": 18816, ""time"": 0.443}, {""cost"": 18753, ""time"": 0.446}, {""cost"": 18710, ""time"": 0.45}, {""cost"": 18604, ""time"": 0.454}, {""cost"": 18488, ""time"": 0.467}, {""cost"": 18382, ""time"": 0.485}, {""cost"": 18329, ""time"": 0.493}, {""cost"": 17905, ""time"": 0.625}, {""cost"": 17481, ""time"": 0.627}, {""cost"": 16633, ""time"": 0.63}, {""cost"": 16209, ""time"": 0.632}, {""cost"": 16191, ""time"": 0.64}, {""cost"": 16017, ""time"": 0.641}, {""cost"": 15959, ""time"": 0.644}, {""cost"": 15901, ""time"": 0.654}, {""cost"": 15863, ""time"": 0.695}, {""cost"": 15757, ""time"": 0.698}, {""cost"": 15704, ""time"": 0.7}, {""cost"": 15598, ""time"": 0.709}, {""cost"": 15545, ""time"": 0.712}, {""cost"": 15475, ""time"": 0.741}, {""cost"": 15301, ""time"": 0.744}, {""cost"": 15127, ""time"": 0.747}, {""cost"": 14597, ""time"": 0.749}, {""cost"": 14332, ""time"": 0.752}, {""cost"": 14067, ""time"": 0.755}, {""cost"": 14034, ""time"": 1.81}]",14034,10672,3362,False,90.046,"[{""cost"": 7300000, ""time"": 0.018}, {""cost"": 7200000, ""time"": 0.02}, {""cost"": 7100000, ""time"": 0.023}, {""cost"": 7000000, ""time"": 0.027}, {""cost"": 6900000, ""time"": 0.03}, {""cost"": 6800000, ""time"": 0.032}, {""cost"": 6700000, ""time"": 0.037}, {""cost"": 6600000, ""time"": 0.043}, {""cost"": 6500000, ""time"": 0.045}, {""cost"": 6400000, ""time"": 0.048}, {""cost"": 6300000, ""time"": 0.06}, {""cost"": 6200000, ""time"": 0.073}, {""cost"": 6100000, ""time"": 0.091}, {""cost"": 6000000, ""time"": 0.118}, {""cost"": 5900000, ""time"": 0.287}, {""cost"": 5800000, ""time"": 1.624}]",OK
layered_large_seed1,layered,large,1,0,3,hetero,1,0,14034,3,0.5333,"(l2,l6,tr1)",0.9,"(l1,l7,tr1,k5)",14,31,False,60.023,"[{""cost"": 53011, ""time"": 0.056}, {""cost"": 47075, ""time"": 0.058}, {""cost"": 46807, ""time"": 0.059}, {""cost"": 46227, ""time"": 0.061}, {""cost"": 46015, ""time"": 0.063}, {""cost"": 44955, ""time"": 0.064}, {""cost"": 44107, ""time"": 0.065}, {""cost"": 43895, ""time"": 0.067}, {""cost"": 43047, ""time"": 0.068}, {""cost"": 42199, ""time"": 0.072}, {""cost"": 42176, ""time"": 0.076}, {""cost"": 42103, ""time"": 0.08}, {""cost"": 42050, ""time"": 0.083}, {""cost"": 41997, ""time"": 0.087}, {""cost"": 41944, ""time"": 0.089}, {""cost"": 41891, ""time"": 0.092}, {""cost"": 41888, ""time"": 0.096}, {""cost"": 41853, ""time"": 0.098}, {""cost"": 41838, ""time"": 0.103}, {""cost"": 41580, ""time"": 0.107}, {""cost"": 41477, ""time"": 0.11}, {""cost"": 41000, ""time"": 0.113}, {""cost"": 40682, ""time"": 0.117}, {""cost"": 40523, ""time"": 0.12}, {""cost"": 40364, ""time"": 0.123}, {""cost"": 40205, ""time"": 0.126}, {""cost"": 40046, ""time"": 0.128}, {""cost"": 39569, ""time"": 0.13}, {""cost"": 39251, ""time"": 0.133}, {""cost"": 38615, ""time"": 0.136}, {""cost"": 38191, ""time"": 0.139}, {""cost"": 38138, ""time"": 0.141}, {""cost"": 38105, ""time"": 0.144}, {""cost"": 38032, ""time"": 0.146}, {""cost"": 37999, ""time"": 0.149}, {""cost"": 37840, ""time"": 0.152}, {""cost"": 37681, ""time"": 0.155}, {""cost"": 37522, ""time"": 0.157}, {""cost"": 37469, ""time"": 0.16}, {""cost"": 37416, ""time"": 0.163}, {""cost"": 37300, ""time"": 0.166}, {""cost"": 37247, ""time"": 0.168}, {""cost"": 37204, ""time"": 0.173}, {""cost"": 37151, ""time"": 0.177}, {""cost"": 37141, ""time"": 0.18}, {""cost"": 37108, ""time"": 0.183}, {""cost"": 37098, ""time"": 0.187}, {""cost"": 37045, ""time"": 0.189}, {""cost"": 37015, ""time"": 0.193}, {""cost"": 36972, ""time"": 0.196}, {""cost"": 36962, ""time"": 0.2}, {""cost"": 36949, ""time"": 0.203}, {""cost"": 36934, ""time"": 0.207}, {""cost"": 36881, ""time"": 0.21}, {""cost"": 36856, ""time"": 0.213}, {""cost"": 36846, ""time"": 0.216}, {""cost"": 36740, ""time"": 0.219}, {""cost"": 36712, ""time"": 0.224}, {""cost"": 36659, ""time"": 0.227}, {""cost"": 36654, ""time"": 0.231}, {""cost"": 36644, ""time"": 0.234}, {""cost"": 36591, ""time"": 0.237}, {""cost"": 36538, ""time"": 0.242}, {""cost"": 36520, ""time"": 0.246}, {""cost"": 36500, ""time"": 0.249}, {""cost"": 36457, ""time"": 0.252}, {""cost"": 36404, ""time"": 0.257}, {""cost"": 36399, ""time"": 0.262}, {""cost"": 36283, ""time"": 0.265}, {""cost"": 36248, ""time"": 0.269}, {""cost"": 36190, ""time"": 0.271}, {""cost"": 35610, ""time"": 0.274}, {""cost"": 35378, ""time"": 0.278}, {""cost"": 35360, ""time"": 0.281}, {""cost"": 35302, ""time"": 0.284}, {""cost"": 35030, ""time"": 0.287}, {""cost"": 34740, ""time"": 0.29}, {""cost"": 34450, ""time"": 0.293}, {""cost"": 33870, ""time"": 0.296}, {""cost"": 33782, ""time"": 0.302}, {""cost"": 33777, ""time"": 0.306}, {""cost"": 33724, ""time"": 0.309}, {""cost"": 33694, ""time"": 0.312}, {""cost"": 33578, ""time"": 0.315}, {""cost"": 33545, ""time"": 0.323}, {""cost"": 33538, ""time"": 0.327}, {""cost"": 33323, ""time"": 0.333}, {""cost"": 33230, ""time"": 0.337}, {""cost"": 33127, ""time"": 0.34}, {""cost"": 33021, ""time"": 0.344}, {""cost"": 32968, ""time"": 0.348}, {""cost"": 32862, ""time"": 0.35}, {""cost"": 32756, ""time"": 0.354}, {""cost"": 32703, ""time"": 0.356}, {""cost"": 32685, ""time"": 0.359}, {""cost"": 32569, ""time"": 0.362}, {""cost"": 31865, ""time"": 0.366}, {""cost"": 31388, ""time"": 0.37}, {""cost"": 30911, ""time"": 0.373}, {""cost"": 30593, ""time"": 0.377}, {""cost"": 30434, ""time"": 0.38}, {""cost"": 30275, ""time"": 0.383}, {""cost"": 30116, ""time"": 0.386}, {""cost"": 29957, ""time"": 0.389}, {""cost"": 29904, ""time"": 0.394}, {""cost"": 29846, ""time"": 0.398}, {""cost"": 29788, ""time"": 0.401}, {""cost"": 29765, ""time"": 0.406}, {""cost"": 29417, ""time"": 0.409}, {""cost"": 29301, ""time"": 0.413}, {""cost"": 29283, ""time"": 0.416}, {""cost"": 29167, ""time"": 0.419}, {""cost"": 29124, ""time"": 0.423}, {""cost"": 29008, ""time"": 0.427}, {""cost"": 28718, ""time"": 0.432}, {""cost"": 28663, ""time"": 0.435}, {""cost"": 27868, ""time"": 0.439}, {""cost"": 27603, ""time"": 0.442}, {""cost"": 27255, ""time"": 0.446}, {""cost"": 26907, ""time"": 0.448}, {""cost"": 25863, ""time"": 0.452}, {""cost"": 25515, ""time"": 0.455}, {""cost"": 25485, ""time"": 0.458}, {""cost"": 25326, ""time"": 0.46}, {""cost"": 25167, ""time"": 0.464}, {""cost"": 25061, ""time"": 0.466}, {""cost"": 25008, ""time"": 0.47}, {""cost"": 24955, ""time"": 0.472}, {""cost"": 24849, ""time"": 0.475}, {""cost"": 24796, ""time"": 0.478}, {""cost"": 22676, ""time"": 0.481}, {""cost"": 22146, ""time"": 0.485}, {""cost"": 21964, ""time"": 0.489}, {""cost"": 21616, ""time"": 0.492}, {""cost"": 21550, ""time"": 0.496}, {""cost"": 21434, ""time"": 0.499}, {""cost"": 21318, ""time"": 0.502}, {""cost"": 21202, ""time"": 0.505}, {""cost"": 21086, ""time"": 0.508}, {""cost"": 20672, ""time"": 0.511}, {""cost"": 20556, ""time"": 0.515}, {""cost"": 20533, ""time"": 0.518}, {""cost"": 20208, ""time"": 0.523}, {""cost"": 19048, ""time"": 0.526}, {""cost"": 18816, ""time"": 0.529}, {""cost"": 18753, ""time"": 0.532}, {""cost"": 18710, ""time"": 0.537}, {""cost"": 18604, ""time"": 0.541}, {""cost"": 18488, ""time"": 0.556}, {""cost"": 18382, ""time"": 0.56}, {""cost"": 18329, ""time"": 0.563}, {""cost"": 17905, ""time"": 0.7}, {""cost"": 17481, ""time"": 0.703}, {""cost"": 16633, ""time"": 0.706}, {""cost"": 16209, ""time"": 0.709}, {""cost"": 16191, ""time"": 0.718}, {""cost"": 16017, ""time"": 0.721}, {""cost"": 15959, ""time"": 0.725}, {""cost"": 15901, ""time"": 0.736}, {""cost"": 15863, ""time"": 0.782}, {""cost"": 15757, ""time"": 0.785}, {""cost"": 15704, ""time"": 0.788}, {""cost"": 15598, ""time"": 0.797}, {""cost"": 15545, ""time"": 0.801}, {""cost"": 15475, ""time"": 0.833}, {""cost"": 15301, ""time"": 0.836}, {""cost"": 15127, ""time"": 0.839}, {""cost"": 14597, ""time"": 0.842}, {""cost"": 14332, ""time"": 0.845}, {""cost"": 14067, ""time"": 0.849}, {""cost"": 14034, ""time"": 1.978}]",14034,10672,3362,False,90.049,"[{""cost"": 0, ""time"": 0.02}, {""cost"": 0, ""time"": 0.023}, {""cost"": 0, ""time"": 0.026}, {""cost"": 0, ""time"": 0.028}, {""cost"": 0, ""time"": 0.031}, {""cost"": 0, ""time"": 0.034}, {""cost"": 0, ""time"": 0.038}, {""cost"": 0, ""time"": 0.045}, {""cost"": 0, ""time"": 0.047}, {""cost"": 0, ""time"": 0.049}, {""cost"": 0, ""time"": 0.062}, {""cost"": 0, ""time"": 0.074}, {""cost"": 0, ""time"": 0.093}, {""cost"": 0, ""time"": 0.119}, {""cost"": 0, ""time"": 0.282}, {""cost"": 0, ""time"": 1.601}]",OK
layered_large_seed1,layered,large,1,0,3,conc,0,1,14034,3,0.5333,"(l2,l6,tr1)",0.9,"(l2,l6,tr1,k5)",11,18,False,60.028,"[{""cost"": 53011, ""time"": 0.058}, {""cost"": 47075, ""time"": 0.06}, {""cost"": 46807, ""time"": 0.062}, {""cost"": 46227, ""time"": 0.063}, {""cost"": 46015, ""time"": 0.065}, {""cost"": 44955, ""time"": 0.067}, {""cost"": 44107, ""time"": 0.068}, {""cost"": 43895, ""time"": 0.07}, {""cost"": 43047, ""time"": 0.071}, {""cost"": 42199, ""time"": 0.076}, {""cost"": 42176, ""time"": 0.079}, {""cost"": 42103, ""time"": 0.083}, {""cost"": 42050, ""time"": 0.087}, {""cost"": 41997, ""time"": 0.09}, {""cost"": 41944, ""time"": 0.092}, {""cost"": 41891, ""time"": 0.096}, {""cost"": 41888, ""time"": 0.1}, {""cost"": 41853, ""time"": 0.103}, {""cost"": 41838, ""time"": 0.108}, {""cost"": 41580, ""time"": 0.114}, {""cost"": 41477, ""time"": 0.118}, {""cost"": 41000, ""time"": 0.122}, {""cost"": 40682, ""time"": 0.126}, {""cost"": 40523, ""time"": 0.129}, {""cost"": 40364, ""time"": 0.132}, {""cost"": 40205, ""time"": 0.135}, {""cost"": 40046, ""time"": 0.139}, {""cost"": 39569, ""time"": 0.142}, {""cost"": 39251, ""time"": 0.145}, {""cost"": 38615, ""time"": 0.147}, {""cost"": 38191, ""time"": 0.151}, {""cost"": 38138, ""time"": 0.153}, {""cost"": 38105, ""time"": 0.156}, {""cost"": 38032, ""time"": 0.159}, {""cost"": 37999, ""time"": 0.162}, {""cost"": 37840, ""time"": 0.165}, {""cost"": 37681, ""time"": 0.168}, {""cost"": 37522, ""time"": 0.172}, {""cost"": 37469, ""time"": 0.174}, {""cost"": 37416, ""time"": 0.178}, {""cost"": 37300, ""time"": 0.181}, {""cost"": 37247, ""time"": 0.184}, {""cost"": 37204, ""time"": 0.19}, {""cost"": 37151, ""time"": 0.194}, {""cost"": 37141, ""time"": 0.197}, {""cost"": 37108, ""time"": 0.201}, {""cost"": 37098, ""time"": 0.205}, {""cost"": 37045, ""time"": 0.207}, {""cost"": 37015, ""time"": 0.212}, {""cost"": 36972, ""time"": 0.215}, {""cost"": 36962, ""time"": 0.219}, {""cost"": 36949, ""time"": 0.223}, {""cost"": 36934, ""time"": 0.228}, {""cost"": 36881, ""time"": 0.23}, {""cost"": 36856, ""time"": 0.234}, {""cost"": 36846, ""time"": 0.237}, {""cost"": 36740, ""time"": 0.24}, {""cost"": 36712, ""time"": 0.244}, {""cost"": 36659, ""time"": 0.247}, {""cost"": 36654, ""time"": 0.25}, {""cost"": 36644, ""time"": 0.253}, {""cost"": 36591, ""time"": 0.255}, {""cost"": 36538, ""time"": 0.258}, {""cost"": 36520, ""time"": 0.261}, {""cost"": 36500, ""time"": 0.265}, {""cost"": 36457, ""time"": 0.267}, {""cost"": 36404, ""time"": 0.272}, {""cost"": 36399, ""time"": 0.277}, {""cost"": 36283, ""time"": 0.281}, {""cost"": 36248, ""time"": 0.286}, {""cost"": 36190, ""time"": 0.288}, {""cost"": 35610, ""time"": 0.292}, {""cost"": 35378, ""time"": 0.295}, {""cost"": 35360, ""time"": 0.299}, {""cost"": 35302, ""time"": 0.302}, {""cost"": 35030, ""time"": 0.305}, {""cost"": 34740, ""time"": 0.309}, {""cost"": 34450, ""time"": 0.311}, {""cost"": 33870, ""time"": 0.315}, {""cost"": 33782, ""time"": 0.321}, {""cost"": 33777, ""time"": 0.326}, {""cost"": 33724, ""time"": 0.328}, {""cost"": 33694, ""time"": 0.332}, {""cost"": 33578, ""time"": 0.335}, {""cost"": 33545, ""time"": 0.344}, {""cost"": 33538, ""time"": 0.348}, {""cost"": 33323, ""time"": 0.353}, {""cost"": 33230, ""time"": 0.357}, {""cost"": 33127, ""time"": 0.361}, {""cost"": 33021, ""time"": 0.365}, {""cost"": 32968, ""time"": 0.369}, {""cost"": 32862, ""time"": 0.371}, {""cost"": 32756, ""time"": 0.375}, {""cost"": 32703, ""time"": 0.378}, {""cost"": 32685, ""time"": 0.38}, {""cost"": 32569, ""time"": 0.384}, {""cost"": 31865, ""time"": 0.388}, {""cost"": 31388, ""time"": 0.392}, {""cost"": 30911, ""time"": 0.395}, {""cost"": 30593, ""time"": 0.399}, {""cost"": 30434, ""time"": 0.402}, {""cost"": 30275, ""time"": 0.406}, {""cost"": 30116, ""time"": 0.41}, {""cost"": 29957, ""time"": 0.414}, {""cost"": 29904, ""time"": 0.418}, {""cost"": 29846, ""time"": 0.423}, {""cost"": 29788, ""time"": 0.426}, {""cost"": 29765, ""time"": 0.431}, {""cost"": 29417, ""time"": 0.435}, {""cost"": 29301, ""time"": 0.439}, {""cost"": 29283, ""time"": 0.443}, {""cost"": 29167, ""time"": 0.446}, {""cost"": 29124, ""time"": 0.45}, {""cost"": 29008, ""time"": 0.455}, {""cost"": 28718, ""time"": 0.46}, {""cost"": 28663, ""time"": 0.465}, {""cost"": 27868, ""time"": 0.468}, {""cost"": 27603, ""time"": 0.472}, {""cost"": 27255, ""time"": 0.476}, {""cost"": 26907, ""time"": 0.479}, {""cost"": 25863, ""time"": 0.483}, {""cost"": 25515, ""time"": 0.486}, {""cost"": 25485, ""time"": 0.49}, {""cost"": 25326, ""time"": 0.493}, {""cost"": 25167, ""time"": 0.496}, {""cost"": 25061, ""time"": 0.499}, {""cost"": 25008, ""time"": 0.503}, {""cost"": 24955, ""time"": 0.506}, {""cost"": 24849, ""time"": 0.509}, {""cost"": 24796, ""time"": 0.512}, {""cost"": 22676, ""time"": 0.516}, {""cost"": 22146, ""time"": 0.519}, {""cost"": 21964, ""time"": 0.523}, {""cost"": 21616, ""time"": 0.526}, {""cost"": 21550, ""time"": 0.531}, {""cost"": 21434, ""time"": 0.534}, {""cost"": 21318, ""time"": 0.538}, {""cost"": 21202, ""time"": 0.542}, {""cost"": 21086, ""time"": 0.545}, {""cost"": 20672, ""time"": 0.549}, {""cost"": 20556, ""time"": 0.553}, {""cost"": 20533, ""time"": 0.556}, {""cost"": 20208, ""time"": 0.56}, {""cost"": 19048, ""time"": 0.564}, {""cost"": 18816, ""time"": 0.567}, {""cost"": 18753, ""time"": 0.571}, {""cost"": 18710, ""time"": 0.576}, {""cost"": 18604, ""time"": 0.581}, {""cost"": 18488, ""time"": 0.596}, {""cost"": 18382, ""time"": 0.6}, {""cost"": 18329, ""time"": 0.603}, {""cost"": 17905, ""time"": 0.747}, {""cost"": 17481, ""time"": 0.75}, {""cost"": 16633, ""time"": 0.753}, {""cost"": 16209, ""time"": 0.756}, {""cost"": 16191, ""time"": 0.765}, {""cost"": 16017, ""time"": 0.767}, {""cost"": 15959, ""time"": 0.77}, {""cost"": 15901, ""time"": 0.782}, {""cost"": 15863, ""time"": 0.83}, {""cost"": 15757, ""time"": 0.833}, {""cost"": 15704, ""time"": 0.836}, {""cost"": 15598, ""time"": 0.846}, {""cost"": 15545, ""time"": 0.849}, {""cost"": 15475, ""time"": 0.884}, {""cost"": 15301, ""time"": 0.887}, {""cost"": 15127, ""time"": 0.89}, {""cost"": 14597, ""time"": 0.893}, {""cost"": 14332, ""time"": 0.896}, {""cost"": 14067, ""time"": 0.9}, {""cost"": 14034, ""time"": 2.037}]",14034,10672,3362,False,90.054,"[{""cost"": 7317333, ""time"": 0.017}, {""cost"": 7317081, ""time"": 0.019}, {""cost"": 7316763, ""time"": 0.021}, {""cost"": 7315625, ""time"": 0.023}, {""cost"": 7315056, ""time"": 0.025}, {""cost"": 7215625, ""time"": 0.027}, {""cost"": 7115877, ""time"": 0.03}, {""cost"": 7115625, ""time"": 0.032}, {""cost"": 7016698, ""time"": 0.035}, {""cost"": 7015877, ""time"": 0.037}, {""cost"": 7015630, ""time"": 0.04}, {""cost"": 7015625, ""time"": 0.042}, {""cost"": 6915625, ""time"": 0.044}, {""cost"": 6816698, ""time"": 0.054}, {""cost"": 6815877, ""time"": 0.058}, {""cost"": 6815630, ""time"": 0.06}, {""cost"": 6815625, ""time"": 0.062}, {""cost"": 6715877, ""time"": 0.07}, {""cost"": 6715625, ""time"": 0.077}, {""cost"": 6615877, ""time"": 0.082}, {""cost"": 6615625, ""time"": 0.084}, {""cost"": 6516698, ""time"": 0.09}, {""cost"": 6516446, ""time"": 0.092}, {""cost"": 6515877, ""time"": 0.095}, {""cost"": 6515625, ""time"": 0.096}, {""cost"": 6416698, ""time"": 0.103}, {""cost"": 6415877, ""time"": 0.111}, {""cost"": 6415308, ""time"": 0.16}, {""cost"": 6414739, ""time"": 0.168}, {""cost"": 6414421, ""time"": 0.17}, {""cost"": 6413852, ""time"": 0.172}, {""cost"": 6413605, ""time"": 0.174}, {""cost"": 6413600, ""time"": 0.176}, {""cost"": 6316698, ""time"": 0.18}, {""cost"": 6315877, ""time"": 0.182}, {""cost"": 6315308, ""time"": 0.184}, {""cost"": 6314990, ""time"": 0.186}, {""cost"": 6314421, ""time"": 0.188}, {""cost"": 6313852, ""time"": 0.19}, {""cost"": 6313605, ""time"": 0.192}, {""cost"": 6215877, ""time"": 0.22}, {""cost"": 6215308, ""time"": 0.222}, {""cost"": 6214990, ""time"": 0.224}, {""cost"": 6214421, ""time"": 0.225}, {""cost"": 6214169, ""time"": 0.228}, {""cost"": 6116764, ""time"": 0.247}, {""cost"": 6115877, ""time"": 0.249}, {""cost"": 6115308, ""time"": 0.251}, {""cost"": 6114990, ""time"": 0.253}, {""cost"": 6114421, ""time"": 0.255}, {""cost"": 6114169, ""time"": 0.257}, {""cost"": 6017267, ""time"": 0.326}, {""cost"": 6016446, ""time"": 0.328}, {""cost"": 6015877, ""time"": 0.33}, {""cost"": 6015308, ""time"": 0.332}, {""cost"": 6014990, ""time"": 0.334}, {""cost"": 6014748, ""time"": 0.514}, {""cost"": 6014743, ""time"": 0.516}, {""cost"": 5915882, ""time"": 0.719}, {""cost"": 5915816, ""time"": 0.721}, {""cost"": 5915630, ""time"": 0.735}, {""cost"": 5915564, ""time"": 0.772}, {""cost"": 5915317, ""time"": 0.775}, {""cost"": 5914995, ""time"": 0.777}, {""cost"": 5914748, ""time"": 0.779}, {""cost"": 5914743, ""time"": 0.781}, {""cost"": 5816138, ""time"": 0.793}, {""cost"": 5815635, ""time"": 0.967}, {""cost"": 5815569, ""time"": 0.969}, {""cost"": 5815317, ""time"": 0.971}, {""cost"": 5815242, ""time"": 11.124}, {""cost"": 5814995, ""time"": 15.025}, {""cost"": 5814743, ""time"": 15.027}, {""cost"": 5814421, ""time"": 15.029}, {""cost"": 5814174, ""time"": 15.031}, {""cost"": 5814169, ""time"": 15.033}, {""cost"": 5813927, ""time"": 15.451}, {""cost"": 5813922, ""time"": 15.63}, {""cost"": 5813348, ""time"": 15.731}, {""cost"": 5812779, ""time"": 17.48}]",OK
