instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_small_seed3,layered,small,3,300,3,both,1,1,6900,2,0.3667,"(l4,l5,tr2)",0.8667,"(l1,l4,tr1,k4)",0.8667,"(l1,l4,tr1,k4)",p1,6,2,False,60.014,[],6300,4868,1432,False,60.008,[],OK
layered_small_seed4,layered,small,4,0,3,off_off,0,0,3784,2,0.5667,"(l1,l6,tr2)",0.8333,"(l4,l5,tr2,k7)",0.8333,"(l4,l5,tr2,k7)",p2,16,10,True,51.954,[],3784,2984,800,True,0.256,[],OK
layered_small_seed4,layered,small,4,0,3,hetero,1,0,3784,2,0.5667,"(l1,l6,tr2)",0.9,"(l3,l6,tr1,k1)",0.9,"(l3,l6,tr1,k1)",p1,2,8,True,51.954,[],3784,2984,800,True,0.695,[],OK
layered_small_seed4,layered,small,4,0,3,conc,0,1,3784,2,0.5667,"(l1,l6,tr2)",0.8333,"(l1,l6,tr2,k2)",0.8333,"(l1,l6,tr2,k2)",p2,12,4,True,51.954,[],3784,3064,720,True,0.724,[],OK
layered_small_seed4,layered,small,4,0,3,both,1,1,3784,2,0.5667,"(l1,l6,tr2)",0.8667,"(l3,l6,tr2,k2)",0.8667,"(l3,l6,tr2,k2)",p2,5,4,True,51.954,[],3784,3064,720,True,1.828,[],OK
layered_small_seed4,layered,small,4,300,3,off_off,0,0,3816,0,0.6667,"(l1,l6,tr2)",0.8,"(l1,l6,tr1,k2)",0.8,"(l1,l6,tr1,k2)",p2,19,11,False,60.012,[],3816,2936,880,True,1.216,[],OK
layered_small_seed4,layered,small,4,300,3,hetero,1,0,3816,0,0.6667,"(l1,l6,tr2)",0.8333,"(l1,l6,tr1,k2)",0.8333,"(l1,l6,tr1,k2)",p2,2,9,False,60.012,[],3816,3016,800,True,1.644,[],OK
layered_small_seed4,layered,small,4,300,3,conc,0,1,3816,0,0.6667,"(l1,l6,tr2)",0.8333,"(l1,l6,tr1,k2)",0.8333,"(l1,l6,tr1,k2)",p2,8,6,False,60.012,[],3816,3016,800,True,59.16,[],OK
layered_small_seed4,layered,small,4,300,3,both,1,1,3816,0,0.6667,"(l1,l6,tr2)",0.8333,"(l1,l6,tr1,k2)",0.8333,"(l1,l6,tr1,k2)",p2,5,6,False,60.012,[],3816,3016,800,True,19.626,[],OK
layered_small_seed5,layered,small,5,0,3,off_off,0,0,4270,3,0.2333,"(l2,l4,tr2)",0.7333,"(l2,l4,tr2,k4)",0.7333,"(l2,l4,tr2,k4)",p2,7,8,False,60.013,[],4270,3325,945,True,0.013,[],OK
layered_small_seed5,layered,small,5,0,3,hetero,1,0,4270,3,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k2)",0.7,"(l4,l5,tr1,k2)",p2,4,11,False,60.013,[],4270,3325,945,True,0.047,[],OK
layered_small_seed5,layered,small,5,0,3,conc,0,1,4270,3,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k3)",0.7,"(l4,l5,tr1,k3)",p2,7,6,False,60.013,[],4270,3325,945,True,0.172,[],OK
layered_small_seed5,layered,small,5,0,3,both,1,1,4270,3,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k1)",0.7,"(l4,l5,tr1,k1)",p2,7,6,False,60.013,[],4270,3325,945,True,1.105,[],OK
layered_small_seed5,layered,small,5,300,3,off_off,0,0,5170,3,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k1)",0.7,"(l4,l5,tr1,k1)",p2,6,8,False,60.012,[],4270,3185,1085,True,0.018,[],OK
layered_small_seed5,layered,small,5,300,3,hetero,1,0,5170,3,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k3)",0.7,"(l4,l5,tr1,k3)",p2,4,11,False,60.012,[],4270,3185,1085,True,0.184,[],OK
layered_small_seed5,layered,small,5,300,3,conc,0,1,5170,3,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k4)",0.7,"(l4,l5,tr1,k4)",p2,7,6,False,60.012,[],4270,3185,1085,True,2.174,[],OK
layered_small_seed5,layered,small,5,300,3,both,1,1,5170,3,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k3)",0.7,"(l4,l5,tr1,k3)",p2,7,6,False,60.012,[],4270,3185,1085,True,7.33,[],OK
