size_label,instance_name,seed,weight,s2_config,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_part,mono_count,concentrated_count,exposure_count,nominal_cost,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_optimal,s1_time,s2_optimal,s2_time
small,layered_small_seed1,1,750,hetero,0.6667,"(l1,l3,tr2)",0.8333,"(l4,l5,tr1,k4)",0.8333,p2,0.0,14.0,0.0,5072.0,5072.0,4038.0,1034.0,False,60.012,True,1.836
small,layered_small_seed1,1,750,conc,0.6667,"(l1,l3,tr2)",0.8,"(l3,l5,tr1,k1)",0.8,p2,5.0,15.0,0.0,5072.0,5072.0,4208.0,864.0,False,60.012,False,60.011
small,layered_small_seed1,1,750,both,0.6667,"(l1,l3,tr2)",0.8,"(l2,l4,tr1,k5)",0.8,p2,2.0,16.0,0.0,5072.0,5072.0,4454.0,618.0,False,60.012,False,60.015
small,layered_small_seed1,1,1000,off_off,0.6667,"(l1,l3,tr2)",0.8333,"(l3,l5,tr1,k1)",0.8333,p2,1.0,14.0,0.0,5072.0,5072.0,4038.0,1034.0,True,54.945,True,1.192
small,layered_small_seed1,1,1000,hetero,0.6667,"(l1,l3,tr2)",0.8333,"(l4,l5,tr1,k4)",0.8333,p2,0.0,14.0,0.0,5072.0,5072.0,4038.0,1034.0,True,54.945,True,1.621
small,layered_small_seed1,1,1000,conc,0.6667,"(l1,l3,tr2)",0.8,"(l2,l4,tr1,k3)",0.8,p2,7.0,15.0,0.0,5072.0,5072.0,4422.0,650.0,True,54.945,False,60.493
small,layered_small_seed1,1,1000,both,0.6667,"(l1,l3,tr2)",0.8,"(l2,l4,tr1,k5)",0.8,p2,2.0,13.0,0.0,5072.0,5072.0,4870.0,202.0,True,54.945,False,60.177
small,layered_small_seed2,2,0,off_off,0.3667,"(l1,l6,tr1)",0.7667,"(l1,l6,tr1,k4)",0.7667,p2,4.0,3.0,3.0,1707.0,1707.0,1391.0,316.0,True,20.115,True,0.359
small,layered_small_seed2,2,0,hetero,0.3667,"(l1,l6,tr1)",0.8333,"(l1,l6,tr1,k9)",0.8333,p2,0.0,3.0,3.0,1707.0,1707.0,1391.0,316.0,True,20.115,True,0.117
small,layered_small_seed2,2,0,conc,0.3667,"(l1,l6,tr1)",0.8333,"(l1,l6,tr1,k5)",0.8333,p2,7.0,5.0,3.0,1707.0,1707.0,1707.0,0.0,True,20.115,False,60.01
small,layered_small_seed2,2,0,both,0.3667,"(l1,l6,tr1)",0.8333,"(l1,l6,tr1,k1)",0.8333,p2,7.0,5.0,3.0,1707.0,1707.0,1707.0,0.0,True,20.115,False,60.014
small,layered_small_seed2,2,300,off_off,0.6667,"(l1,l6,tr1)",0.8333,"(l2,l5,tr2,k8)",0.8333,p2,5.0,14.0,0.0,2560.0,2560.0,2337.0,223.0,False,60.016,True,0.053
small,layered_small_seed2,2,300,hetero,0.6667,"(l1,l6,tr1)",0.8667,"(l1,l6,tr1,k5)",0.8667,p2,0.0,14.0,0.0,2560.0,2560.0,2337.0,223.0,False,60.016,True,0.053
small,layered_small_seed2,2,300,conc,0.6667,"(l1,l6,tr1)",0.8333,"(l1,l6,tr1,k5)",0.8333,p2,0.0,13.0,0.0,2560.0,2560.0,2560.0,0.0,False,60.016,True,0.905
small,layered_small_seed2,2,300,both,0.6667,"(l1,l6,tr1)",0.8333,"(l1,l6,tr1,k2)",0.8333,p2,0.0,12.0,0.0,2560.0,2560.0,2560.0,0.0,False,60.016,True,12.52
small,layered_small_seed2,2,500,off_off,0.6667,"(l1,l6,tr1)",0.8333,"(l2,l5,tr2,k8)",0.8333,p2,5.0,14.0,0.0,2560.0,2560.0,2337.0,223.0,False,60.029,True,0.051
small,layered_small_seed2,2,500,hetero,0.6667,"(l1,l6,tr1)",0.8667,"(l4,l6,tr2,k2)",0.8667,p2,0.0,14.0,0.0,2560.0,2560.0,2337.0,223.0,False,60.029,True,0.05
small,layered_small_seed2,2,500,conc,0.6667,"(l1,l6,tr1)",0.8333,"(l1,l6,tr1,k5)",0.8333,p2,0.0,13.0,0.0,2560.0,2560.0,2560.0,0.0,False,60.029,True,1.252
small,layered_small_seed2,2,500,both,0.6667,"(l1,l6,tr1)",0.8333,"(l4,l6,tr2,k1)",0.8333,p2,0.0,12.0,0.0,2560.0,2560.0,2560.0,0.0,False,60.029,True,9.65
small,layered_small_seed2,2,750,off_off,0.6667,"(l1,l6,tr1)",0.8333,"(l4,l6,tr2,k1)",0.8333,p2,4.0,13.0,0.0,4642.0,4642.0,3771.0,871.0,False,60.043,True,0.137
small,layered_small_seed2,2,750,hetero,0.6667,"(l1,l6,tr1)",0.8333,"(l4,l6,tr2,k2)",0.8333,p2,3.0,12.0,0.0,4642.0,4642.0,3771.0,871.0,False,60.043,True,3.709
small,layered_small_seed2,2,750,conc,0.6667,"(l1,l6,tr1)",0.8333,"(l4,l6,tr2,k2)",0.8333,p2,6.0,12.0,0.0,4642.0,4642.0,4419.0,223.0,False,60.043,False,60.01
small,layered_small_seed2,2,750,both,0.6667,"(l1,l6,tr1)",0.8333,"(l4,l6,tr2,k1)",0.8333,p2,3.0,12.0,0.0,4642.0,4642.0,4437.0,205.0,False,60.043,False,60.021
