instance_name,instance_size,seed,div_weight,proxy,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,dominant_count,exposure_count,r_tr,worst_arc,r_1,worst_trip,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_large_seed1,custom,0,0,exposure,3,off_off,0,0,14433,47,1,0.6,"(l6,l7,tr2)",0.8,"(l2,l7,tr2,k3)",22,45,False,299.066,"[[0.222, 43910], [0.236, 43327], [0.248, 43274], [0.261, 43168], [0.273, 43115], [0.286, 42767], [0.298, 39635], [0.31, 39287], [0.323, 38439], [0.335, 37547], [0.348, 37257], [0.36, 36967], [0.373, 36387], [0.385, 36097], [0.398, 35807], [0.41, 34959], [0.422, 28917], [0.435, 28069], [26.088, 28052], [26.128, 28047], [26.148, 27989], [26.169, 27873], [26.184, 27641], [26.209, 27525], [26.231, 27467], [26.25, 26937], [27.791, 26915], [27.824, 26877], [27.847, 26814], [27.873, 26804], [27.938, 26466], [27.96, 26408], [27.983, 25406], [28.004, 25398], [28.025, 25224], [28.044, 25050], [28.063, 24876], [28.085, 24853], [28.106, 24679], [28.125, 24520], [28.179, 24346], [28.202, 24296], [28.235, 24270], [28.26, 24249], [28.279, 24149], [28.3, 23937], [28.32, 23725], [28.34, 23513], [28.365, 23301], [28.386, 23167], [28.406, 22993], [28.439, 22877], [28.458, 22082], [28.477, 21817], [28.496, 21552], [28.514, 21519], [28.532, 21423], [28.812, 21201], [28.833, 21156], [28.864, 21022], [28.882, 20865], [28.901, 20651], [28.919, 20386], [28.937, 20295], [28.956, 20121], [28.985, 19962], [29.011, 19917], [29.027, 19788], [29.046, 19730], [29.067, 19672], [30.91, 19669], [34.349, 19651], [34.373, 19646], [34.397, 19613], [34.42, 19598], [34.441, 19545], [35.246, 19444], [35.289, 19328], [35.324, 19283], [35.389, 19230], [35.422, 19071], [35.44, 19018], [35.458, 18859], [35.475, 18382], [35.492, 18223], [35.509, 18170], [35.527, 17880], [35.545, 17802], [64.541, 17753], [66.159, 17701], [66.238, 17698], [66.254, 17645], [66.326, 17567], [67.001, 17490], [67.092, 17460], [67.123, 17427], [67.228, 17311], [67.248, 17248], [67.267, 17195], [67.286, 17036], [67.341, 16983], [67.361, 16930], [67.478, 16877], [67.501, 16725], [67.522, 16627], [67.545, 16319], [67.577, 16208], [74.057, 16200], [101.664, 16167], [101.773, 16164], [101.787, 16111], [101.805, 15995], [101.827, 15942], [101.859, 15899], [101.91, 15856], [102.063, 15793], [102.11, 15775], [102.145, 15750], [102.165, 15659], [102.206, 15596], [102.254, 15445], [102.758, 15369], [102.89, 15366], [102.995, 15316], [104.734, 15278], [104.906, 15248], [104.929, 15195], [104.95, 15142], [104.988, 15044], [105.033, 15031], [105.05, 14915], [105.278, 14897], [105.298, 14844], [105.321, 14746], [105.341, 14741], [105.52, 14655], [105.555, 14574], [105.64, 14564], [105.741, 14529], [105.79, 14456], [105.998, 14433]]",14433,13497,936,False,0.042,"[[0.042, []]]",OK
layered_large_seed1,custom,0,0,exposure,3,both,1,1,14433,47,1,0.6,"(l6,l7,tr2)",0.8667,"(l2,l3,tr2,k1)",3,25,False,299.066,"[[0.222, 43910], [0.236, 43327], [0.248, 43274], [0.261, 43168], [0.273, 43115], [0.286, 42767], [0.298, 39635], [0.31, 39287], [0.323, 38439], [0.335, 37547], [0.348, 37257], [0.36, 36967], [0.373, 36387], [0.385, 36097], [0.398, 35807], [0.41, 34959], [0.422, 28917], [0.435, 28069], [26.088, 28052], [26.128, 28047], [26.148, 27989], [26.169, 27873], [26.184, 27641], [26.209, 27525], [26.231, 27467], [26.25, 26937], [27.791, 26915], [27.824, 26877], [27.847, 26814], [27.873, 26804], [27.938, 26466], [27.96, 26408], [27.983, 25406], [28.004, 25398], [28.025, 25224], [28.044, 25050], [28.063, 24876], [28.085, 24853], [28.106, 24679], [28.125, 24520], [28.179, 24346], [28.202, 24296], [28.235, 24270], [28.26, 24249], [28.279, 24149], [28.3, 23937], [28.32, 23725], [28.34, 23513], [28.365, 23301], [28.386, 23167], [28.406, 22993], [28.439, 22877], [28.458, 22082], [28.477, 21817], [28.496, 21552], [28.514, 21519], [28.532, 21423], [28.812, 21201], [28.833, 21156], [28.864, 21022], [28.882, 20865], [28.901, 20651], [28.919, 20386], [28.937, 20295], [28.956, 20121], [28.985, 19962], [29.011, 19917], [29.027, 19788], [29.046, 19730], [29.067, 19672], [30.91, 19669], [34.349, 19651], [34.373, 19646], [34.397, 19613], [34.42, 19598], [34.441, 19545], [35.246, 19444], [35.289, 19328], [35.324, 19283], [35.389, 19230], [35.422, 19071], [35.44, 19018], [35.458, 18859], [35.475, 18382], [35.492, 18223], [35.509, 18170], [35.527, 17880], [35.545, 17802], [64.541, 17753], [66.159, 17701], [66.238, 17698], [66.254, 17645], [66.326, 17567], [67.001, 17490], [67.092, 17460], [67.123, 17427], [67.228, 17311], [67.248, 17248], [67.267, 17195], [67.286, 17036], [67.341, 16983], [67.361, 16930], [67.478, 16877], [67.501, 16725], [67.522, 16627], [67.545, 16319], [67.577, 16208], [74.057, 16200], [101.664, 16167], [101.773, 16164], [101.787, 16111], [101.805, 15995], [101.827, 15942], [101.859, 15899], [101.91, 15856], [102.063, 15793], [102.11, 15775], [102.145, 15750], [102.165, 15659], [102.206, 15596], [102.254, 15445], [102.758, 15369], [102.89, 15366], [102.995, 15316], [104.734, 15278], [104.906, 15248], [104.929, 15195], [104.95, 15142], [104.988, 15044], [105.033, 15031], [105.05, 14915], [105.278, 14897], [105.298, 14844], [105.321, 14746], [105.341, 14741], [105.52, 14655], [105.555, 14574], [105.64, 14564], [105.741, 14529], [105.79, 14456], [105.998, 14433]]",14433,12546,1887,False,300.012,"[[0.042, [22000, 30966]], [0.054, [22000, 30392]], [0.066, [21000, 30966]], [0.077, [21000, 29823]], [0.089, [20000, 30397]], [0.105, [18000, 24568]], [0.116, [17000, 25455]], [0.128, [17000, 24312]], [0.14, [16000, 25455]], [0.151, [16000, 24886]], [0.163, [16000, 24881]], [0.174, [16000, 24312]], [0.186, [15000, 26029]], [0.199, [15000, 25711]], [0.225, [15000, 25269]], [0.237, [15000, 24951]], [0.252, [15000, 24700]], [0.264, [15000, 24695]], [0.276, [15000, 23173]], [0.287, [15000, 22352]], [0.299, [15000, 21783]], [0.31, [14000, 23173]], [0.322, [14000, 22352]], [0.333, [14000, 21778]], [0.344, [13000, 22352]], [0.356, [13000, 21531]], [0.368, [13000, 20962]], [0.379, [12000, 23173]], [0.391, [12000, 22423]], [0.402, [12000, 21849]], [0.413, [12000, 21536]], [0.425, [12000, 21531]], [0.436, [12000, 20962]], [0.448, [11000, 23561]], [0.461, [11000, 22361]], [0.473, [11000, 22105]], [0.489, [11000, 20962]], [0.501, [11000, 20459]], [0.512, [11000, 20141]], [0.53, [11000, 19571]], [0.541, [11000, 19002]], [0.556, [11000, 18685]], [0.568, [11000, 18116]], [0.581, [10000, 23253]], [0.593, [10000, 23187]], [0.605, [10000, 23182]], [0.63, [10000, 22996]], [0.654, [10000, 22865]], [0.666, [10000, 22860]], [0.677, [10000, 22291]], [0.691, [10000, 22115]], [0.704, [10000, 21541]], [0.715, [10000, 21223]], [0.734, [10000, 20705]], [0.745, [10000, 20639]], [0.756, [10000, 20387]], [0.768, [10000, 19818]], [0.779, [10000, 19752]], [0.79, [10000, 18931]], [0.802, [10000, 18362]], [0.825, [9000, 25279]], [0.837, [9000, 23319]], [0.848, [9000, 23001]], [0.86, [9000, 22750]], [0.871, [9000, 22432]], [0.883, [9000, 21929]], [0.895, [9000, 21611]], [0.906, [9000, 21360]], [0.918, [9000, 21042]], [0.93, [9000, 20473]], [0.943, [8000, 23319]], [0.959, [8000, 20966]], [0.97, [8000, 20397]], [0.981, [8000, 19576]], [0.993, [8000, 19007]], [1.013, [8000, 18438]], [1.034, [8000, 18433]], [1.099, [7000, 24876]], [1.11, [7000, 24810]], [1.122, [7000, 23989]], [1.134, [7000, 23168]], [1.146, [7000, 22599]], [1.158, [7000, 22352]], [1.17, [7000, 21778]], [1.182, [7000, 21460]], [1.193, [7000, 20891]], [1.205, [7000, 20639]], [1.236, [7000, 20141]], [1.248, [7000, 19889]], [1.259, [7000, 19320]], [1.271, [7000, 19002]], [1.289, [7000, 18433]], [1.301, [7000, 17864]], [1.319, [7000, 17798]], [1.332, [7000, 17793]], [1.344, [7000, 17224]], [1.385, [7000, 16655]], [1.433, [6000, 20075]], [1.462, [6000, 19823]], [1.473, [6000, 19002]], [1.485, [6000, 18433]], [1.519, [6000, 18111]], [1.532, [5000, 23244]], [1.545, [5000, 20080]], [1.558, [5000, 19828]], [1.569, [5000, 19259]], [1.581, [5000, 19254]], [1.593, [5000, 18685]], [1.605, [5000, 18680]], [1.617, [5000, 18111]], [1.693, [5000, 17798]], [1.704, [5000, 17546]], [1.716, [5000, 16977]], [1.728, [5000, 16408]], [1.744, [5000, 16403]], [1.756, [5000, 15834]], [1.792, [4000, 18685]], [1.803, [4000, 17864]], [1.815, [4000, 17798]], [1.827, [4000, 17551]], [1.839, [4000, 17546]], [1.851, [4000, 16977]], [1.864, [4000, 16403]], [1.909, [4000, 16147]], [1.923, [4000, 15834]], [2.368, [4000, 15829]], [2.383, [3000, 25782]], [2.397, [3000, 25526]], [2.408, [3000, 24639]], [2.42, [3000, 24321]], [2.438, [3000, 22987]], [2.45, [3000, 22669]], [2.471, [3000, 20710]], [2.484, [3000, 20397]], [2.495, [3000, 19823]], [2.514, [3000, 19515]], [2.53, [3000, 19184]], [2.542, [3000, 18932]], [2.554, [3000, 18363]], [2.568, [3000, 18182]], [2.581, [3000, 18177]], [2.599, [3000, 17798]], [2.611, [3000, 17551]], [2.624, [3000, 17546]], [2.637, [3000, 16977]], [2.652, [3000, 16721]], [2.772, [3000, 16403]]]",OK
layered_large_seed1,custom,0,50,exposure,3,off_off,0,0,28469,24,8,0.4667,"(l2,l4,tr2)",0.8,"(l2,l4,tr2,k15)",45,27,False,299.059,"[[0.21, 44310], [0.224, 43727], [0.236, 43674], [0.248, 43568], [0.261, 43515], [0.273, 43167], [0.285, 40035], [0.298, 39687], [0.31, 38839], [0.323, 37947], [0.335, 37657], [0.347, 37367], [0.359, 36787], [0.372, 36497], [0.384, 36207], [0.396, 35359], [0.408, 29317], [0.421, 28469]]",28069,25907,2162,False,0.058,"[[0.057, []]]",OK
layered_large_seed1,custom,0,50,exposure,3,both,1,1,28469,24,8,0.4667,"(l2,l4,tr2)",0.8667,"(l2,l4,tr2,k15)",0,9,False,299.059,"[[0.21, 44310], [0.224, 43727], [0.236, 43674], [0.248, 43568], [0.261, 43515], [0.273, 43167], [0.285, 40035], [0.298, 39687], [0.31, 38839], [0.323, 37947], [0.335, 37657], [0.347, 37367], [0.359, 36787], [0.372, 36497], [0.384, 36207], [0.396, 35359], [0.408, 29317], [0.421, 28469]]",28069,22380,5689,False,9.193,"[[0.058, [45000, 19258]], [0.078, [40000, 11399]], [0.092, [39000, 11399]], [0.106, [38000, 11399]], [0.12, [37000, 11399]], [0.134, [36000, 11399]], [0.149, [35000, 12286]], [0.166, [35000, 12220]], [0.18, [35000, 11651]], [0.194, [35000, 11399]], [0.208, [34000, 14563]], [0.222, [34000, 13359]], [0.236, [34000, 12472]], [0.25, [34000, 11651]], [0.264, [33000, 13676]], [0.278, [33000, 12789]], [0.292, [33000, 12220]], [0.306, [33000, 11651]], [0.321, [32000, 13676]], [0.339, [32000, 12538]], [0.354, [31000, 12538]], [0.369, [30000, 12538]], [0.383, [29000, 13112]], [0.399, [29000, 12538]], [0.414, [28000, 13425]], [0.428, [28000, 13112]], [0.442, [28000, 12538]], [0.458, [27000, 13112]], [0.474, [27000, 12538]], [0.497, [27000, 11969]], [0.511, [27000, 11717]], [0.529, [27000, 11656]], [0.544, [27000, 11082]], [0.561, [26000, 12538]], [0.576, [26000, 11651]], [0.591, [26000, 11082]], [0.608, [25000, 11651]], [0.623, [25000, 11082]], [0.639, [24000, 12543]], [0.654, [24000, 11656]], [0.668, [24000, 11082]], [0.684, [23000, 11082]], [0.7, [22000, 11082]], [0.717, [21000, 11082]], [0.733, [20000, 11969]], [0.747, [20000, 11082]], [0.767, [19000, 11656]], [0.787, [18000, 11656]], [0.804, [17000, 11656]], [0.82, [16000, 11656]], [0.837, [15000, 11656]], [0.856, [14000, 11656]], [0.872, [13000, 11656]], [0.888, [12000, 11656]], [0.904, [11000, 11656]], [0.921, [10000, 11656]], [0.939, [9000, 11656]], [0.955, [8000, 11656]], [0.972, [7000, 11656]], [0.988, [6000, 11656]], [1.005, [5000, 11656]], [1.022, [4000, 11656]], [1.038, [3000, 11656]], [1.055, [2000, 11656]], [1.071, [2000, 10835]], [1.089, [2000, 10830]], [1.109, [2000, 10261]], [1.14, [1000, 11722]], [1.154, [1000, 10835]], [1.168, [1000, 10261]], [1.198, [1000, 10014]], [1.212, [1000, 9440]], [1.243, [1000, 9435]], [1.257, [1000, 8866]], [1.293, [1000, 8619]], [1.308, [1000, 8614]], [1.774, [0, 10014]], [1.789, [0, 9440]], [1.802, [0, 8871]], [1.817, [0, 8866]], [1.831, [0, 8619]], [1.845, [0, 8045]], [2.496, [0, 7476]], [2.652, [0, 6655]], [3.366, [0, 6408]], [3.381, [0, 6403]]]",OK
layered_large_seed1,custom,0,100,exposure,3,off_off,0,0,14541,43,2,0.6333,"(l1,l3,tr1)",,,,,False,299.062,"[[0.208, 44710], [0.221, 44127], [0.233, 44074], [0.245, 43968], [0.257, 43915], [0.269, 43567], [0.281, 40435], [0.292, 40087], [0.304, 39239], [0.316, 38347], [0.328, 38057], [0.339, 37767], [0.351, 37187], [0.363, 36897], [0.374, 36607], [0.386, 35759], [0.398, 29717], [0.41, 28869], [282.995, 28867], [283.107, 28815], [283.126, 28709], [283.143, 28444], [283.161, 28179], [283.22, 27755], [283.237, 27490], [283.254, 27225], [283.271, 26993], [283.288, 26529], [283.304, 26413], [283.321, 26297], [283.338, 26181], [283.354, 26065], [283.377, 26055], [283.396, 26002], [283.431, 25364], [283.448, 24784], [283.468, 24756], [283.528, 24721], [283.546, 24456], [283.564, 24191], [283.594, 24186], [283.617, 23026], [283.659, 22982], [283.681, 22960], [283.921, 22901], [283.966, 22868], [284.066, 22834], [284.084, 22463], [284.129, 22304], [284.151, 22218], [284.175, 22145], [284.227, 22039], [284.274, 21933], [284.538, 21880], [284.557, 21827], [284.58, 21744], [284.693, 21729], [285.071, 21710], [285.091, 21610], [285.115, 21604], [285.155, 21342], [285.247, 21329], [285.266, 21213], [285.286, 21171], [285.485, 21151], [285.512, 21098], [285.53, 20992], [285.548, 20939], [285.567, 20924], [285.584, 20808], [285.605, 20765], [285.631, 20649], [285.682, 20634], [285.714, 20475], [285.74, 20459], [285.771, 20381], [286.671, 20371], [286.695, 20361], [286.721, 20353], [286.743, 20237], [286.783, 20212], [287.641, 20158], [288.149, 20154], [288.166, 20101], [288.184, 20048], [288.2, 19995], [288.216, 19942], [288.231, 19677], [288.248, 19200], [288.267, 19088], [288.285, 18988], [288.304, 18723], [288.33, 18700], [288.351, 18665], [288.369, 18526], [288.417, 18352], [288.672, 18351], [288.688, 18086], [288.73, 17830], [288.748, 17701], [288.764, 17585], [288.78, 17469], [288.796, 17295], [288.814, 17280], [288.83, 17179], [288.862, 17134], [288.912, 17018], [288.931, 16902], [288.954, 16715], [288.971, 16657], [288.987, 16541], [289.013, 16528], [289.032, 16425], [289.053, 16392], [289.072, 16387], [289.091, 16319], [289.111, 16203], [289.141, 15913], [289.368, 15757], [289.387, 15704], [289.407, 15699], [289.425, 15467], [289.444, 15409], [289.54, 15235], [289.894, 15222], [290.613, 15192], [290.63, 15139], [290.702, 15086], [290.722, 14796], [290.743, 14778], [290.768, 14541]]",,,,False,,,S2_UNSAT
layered_large_seed1,custom,0,100,exposure,3,both,1,1,14541,43,2,0.6333,"(l1,l3,tr1)",,,,,False,299.062,"[[0.208, 44710], [0.221, 44127], [0.233, 44074], [0.245, 43968], [0.257, 43915], [0.269, 43567], [0.281, 40435], [0.292, 40087], [0.304, 39239], [0.316, 38347], [0.328, 38057], [0.339, 37767], [0.351, 37187], [0.363, 36897], [0.374, 36607], [0.386, 35759], [0.398, 29717], [0.41, 28869], [282.995, 28867], [283.107, 28815], [283.126, 28709], [283.143, 28444], [283.161, 28179], [283.22, 27755], [283.237, 27490], [283.254, 27225], [283.271, 26993], [283.288, 26529], [283.304, 26413], [283.321, 26297], [283.338, 26181], [283.354, 26065], [283.377, 26055], [283.396, 26002], [283.431, 25364], [283.448, 24784], [283.468, 24756], [283.528, 24721], [283.546, 24456], [283.564, 24191], [283.594, 24186], [283.617, 23026], [283.659, 22982], [283.681, 22960], [283.921, 22901], [283.966, 22868], [284.066, 22834], [284.084, 22463], [284.129, 22304], [284.151, 22218], [284.175, 22145], [284.227, 22039], [284.274, 21933], [284.538, 21880], [284.557, 21827], [284.58, 21744], [284.693, 21729], [285.071, 21710], [285.091, 21610], [285.115, 21604], [285.155, 21342], [285.247, 21329], [285.266, 21213], [285.286, 21171], [285.485, 21151], [285.512, 21098], [285.53, 20992], [285.548, 20939], [285.567, 20924], [285.584, 20808], [285.605, 20765], [285.631, 20649], [285.682, 20634], [285.714, 20475], [285.74, 20459], [285.771, 20381], [286.671, 20371], [286.695, 20361], [286.721, 20353], [286.743, 20237], [286.783, 20212], [287.641, 20158], [288.149, 20154], [288.166, 20101], [288.184, 20048], [288.2, 19995], [288.216, 19942], [288.231, 19677], [288.248, 19200], [288.267, 19088], [288.285, 18988], [288.304, 18723], [288.33, 18700], [288.351, 18665], [288.369, 18526], [288.417, 18352], [288.672, 18351], [288.688, 18086], [288.73, 17830], [288.748, 17701], [288.764, 17585], [288.78, 17469], [288.796, 17295], [288.814, 17280], [288.83, 17179], [288.862, 17134], [288.912, 17018], [288.931, 16902], [288.954, 16715], [288.971, 16657], [288.987, 16541], [289.013, 16528], [289.032, 16425], [289.053, 16392], [289.072, 16387], [289.091, 16319], [289.111, 16203], [289.141, 15913], [289.368, 15757], [289.387, 15704], [289.407, 15699], [289.425, 15467], [289.444, 15409], [289.54, 15235], [289.894, 15222], [290.613, 15192], [290.63, 15139], [290.702, 15086], [290.722, 14796], [290.743, 14778], [290.768, 14541]]",,,,False,,,S2_UNSAT
layered_large_seed1,custom,0,150,exposure,3,off_off,0,0,29269,24,8,0.4667,"(l2,l4,tr2)",0.8,"(l2,l4,tr2,k15)",45,27,False,299.067,"[[0.217, 45110], [0.231, 44527], [0.243, 44474], [0.256, 44368], [0.269, 44315], [0.281, 43967], [0.294, 40835], [0.306, 40487], [0.319, 39639], [0.332, 38747], [0.344, 38457], [0.357, 38167], [0.369, 37587], [0.382, 37297], [0.395, 37007], [0.407, 36159], [0.42, 30117], [0.433, 29269]]",28069,25907,2162,False,0.059,"[[0.059, []]]",OK
layered_large_seed1,custom,0,150,exposure,3,both,1,1,29269,24,8,0.4667,"(l2,l4,tr2)",0.8667,"(l2,l4,tr2,k15)",0,9,False,299.067,"[[0.217, 45110], [0.231, 44527], [0.243, 44474], [0.256, 44368], [0.269, 44315], [0.281, 43967], [0.294, 40835], [0.306, 40487], [0.319, 39639], [0.332, 38747], [0.344, 38457], [0.357, 38167], [0.369, 37587], [0.382, 37297], [0.395, 37007], [0.407, 36159], [0.42, 30117], [0.433, 29269]]",28069,22380,5689,False,9.388,"[[0.059, [45000, 19258]], [0.078, [40000, 11399]], [0.093, [39000, 11399]], [0.107, [38000, 11399]], [0.121, [37000, 11399]], [0.135, [36000, 11399]], [0.15, [35000, 12286]], [0.168, [35000, 12220]], [0.181, [35000, 11651]], [0.196, [35000, 11399]], [0.21, [34000, 14563]], [0.224, [34000, 13359]], [0.238, [34000, 12472]], [0.252, [34000, 11651]], [0.266, [33000, 13676]], [0.281, [33000, 12789]], [0.295, [33000, 12220]], [0.308, [33000, 11651]], [0.323, [32000, 13676]], [0.342, [32000, 12538]], [0.357, [31000, 12538]], [0.372, [30000, 12538]], [0.387, [29000, 13112]], [0.403, [29000, 12538]], [0.418, [28000, 13425]], [0.432, [28000, 13112]], [0.446, [28000, 12538]], [0.463, [27000, 13112]], [0.479, [27000, 12538]], [0.501, [27000, 11969]], [0.515, [27000, 11717]], [0.534, [27000, 11656]], [0.549, [27000, 11082]], [0.566, [26000, 12538]], [0.581, [26000, 11651]], [0.595, [26000, 11082]], [0.613, [25000, 11651]], [0.628, [25000, 11082]], [0.644, [24000, 12543]], [0.659, [24000, 11656]], [0.673, [24000, 11082]], [0.69, [23000, 11082]], [0.706, [22000, 11082]], [0.723, [21000, 11082]], [0.739, [20000, 11969]], [0.754, [20000, 11082]], [0.773, [19000, 11656]], [0.793, [18000, 11656]], [0.81, [17000, 11656]], [0.827, [16000, 11656]], [0.844, [15000, 11656]], [0.862, [14000, 11656]], [0.879, [13000, 11656]], [0.895, [12000, 11656]], [0.912, [11000, 11656]], [0.929, [10000, 11656]], [0.947, [9000, 11656]], [0.964, [8000, 11656]], [0.98, [7000, 11656]], [0.996, [6000, 11656]], [1.014, [5000, 11656]], [1.03, [4000, 11656]], [1.047, [3000, 11656]], [1.064, [2000, 11656]], [1.08, [2000, 10835]], [1.098, [2000, 10830]], [1.118, [2000, 10261]], [1.15, [1000, 11722]], [1.164, [1000, 10835]], [1.178, [1000, 10261]], [1.208, [1000, 10014]], [1.223, [1000, 9440]], [1.254, [1000, 9435]], [1.268, [1000, 8866]], [1.305, [1000, 8619]], [1.32, [1000, 8614]], [1.795, [0, 10014]], [1.81, [0, 9440]], [1.824, [0, 8871]], [1.838, [0, 8866]], [1.853, [0, 8619]], [1.867, [0, 8045]], [2.531, [0, 7476]], [2.691, [0, 6655]], [3.421, [0, 6408]], [3.436, [0, 6403]]]",OK
layered_large_seed1,custom,0,200,exposure,3,off_off,0,0,29669,24,8,0.4667,"(l2,l4,tr2)",0.8,"(l2,l4,tr2,k15)",45,27,False,299.06,"[[0.207, 45510], [0.22, 44927], [0.232, 44874], [0.244, 44768], [0.256, 44715], [0.268, 44367], [0.28, 41235], [0.292, 40887], [0.304, 40039], [0.316, 39147], [0.328, 38857], [0.339, 38567], [0.351, 37987], [0.363, 37697], [0.375, 37407], [0.387, 36559], [0.399, 30517], [0.411, 29669]]",28069,25907,2162,False,0.062,"[[0.062, []]]",OK
layered_large_seed1,custom,0,200,exposure,3,both,1,1,29669,24,8,0.4667,"(l2,l4,tr2)",0.8667,"(l2,l4,tr2,k15)",0,9,False,299.06,"[[0.207, 45510], [0.22, 44927], [0.232, 44874], [0.244, 44768], [0.256, 44715], [0.268, 44367], [0.28, 41235], [0.292, 40887], [0.304, 40039], [0.316, 39147], [0.328, 38857], [0.339, 38567], [0.351, 37987], [0.363, 37697], [0.375, 37407], [0.387, 36559], [0.399, 30517], [0.411, 29669]]",28069,22380,5689,False,9.617,"[[0.062, [45000, 19258]], [0.083, [40000, 11399]], [0.098, [39000, 11399]], [0.112, [38000, 11399]], [0.127, [37000, 11399]], [0.141, [36000, 11399]], [0.157, [35000, 12286]], [0.175, [35000, 12220]], [0.189, [35000, 11651]], [0.204, [35000, 11399]], [0.218, [34000, 14563]], [0.232, [34000, 13359]], [0.247, [34000, 12472]], [0.262, [34000, 11651]], [0.277, [33000, 13676]], [0.292, [33000, 12789]], [0.306, [33000, 12220]], [0.321, [33000, 11651]], [0.336, [32000, 13676]], [0.356, [32000, 12538]], [0.371, [31000, 12538]], [0.387, [30000, 12538]], [0.402, [29000, 13112]], [0.418, [29000, 12538]], [0.434, [28000, 13425]], [0.449, [28000, 13112]], [0.464, [28000, 12538]], [0.481, [27000, 13112]], [0.497, [27000, 12538]], [0.521, [27000, 11969]], [0.535, [27000, 11717]], [0.554, [27000, 11656]], [0.57, [27000, 11082]], [0.588, [26000, 12538]], [0.603, [26000, 11651]], [0.618, [26000, 11082]], [0.637, [25000, 11651]], [0.652, [25000, 11082]], [0.669, [24000, 12543]], [0.684, [24000, 11656]], [0.699, [24000, 11082]], [0.716, [23000, 11082]], [0.733, [22000, 11082]], [0.751, [21000, 11082]], [0.768, [20000, 11969]], [0.783, [20000, 11082]], [0.803, [19000, 11656]], [0.824, [18000, 11656]], [0.842, [17000, 11656]], [0.859, [16000, 11656]], [0.877, [15000, 11656]], [0.896, [14000, 11656]], [0.913, [13000, 11656]], [0.93, [12000, 11656]], [0.948, [11000, 11656]], [0.965, [10000, 11656]], [0.983, [9000, 11656]], [1.001, [8000, 11656]], [1.017, [7000, 11656]], [1.035, [6000, 11656]], [1.053, [5000, 11656]], [1.07, [4000, 11656]], [1.087, [3000, 11656]], [1.105, [2000, 11656]], [1.121, [2000, 10835]], [1.14, [2000, 10830]], [1.161, [2000, 10261]], [1.193, [1000, 11722]], [1.208, [1000, 10835]], [1.222, [1000, 10261]], [1.253, [1000, 10014]], [1.269, [1000, 9440]], [1.3, [1000, 9435]], [1.315, [1000, 8866]], [1.352, [1000, 8619]], [1.367, [1000, 8614]], [1.852, [0, 10014]], [1.867, [0, 9440]], [1.881, [0, 8871]], [1.896, [0, 8866]], [1.911, [0, 8619]], [1.926, [0, 8045]], [2.608, [0, 7476]], [2.772, [0, 6655]], [3.524, [0, 6408]], [3.539, [0, 6403]]]",OK
