instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w500,heterogeneity,500,4588424,60.389,False,"[100, 0, 4588424]",0.194,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w0,heterogeneity,0,5839576,60.332,False,"[370, 0, 5839576]",0.033,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w1,heterogeneity,1,5839576,60.332,False,"[370, 0, 5839576]",0.032,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w5,heterogeneity,5,5839576,60.332,False,"[370, 0, 5839576]",0.032,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w10,heterogeneity,10,5839576,60.332,False,"[370, 0, 5839576]",0.032,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w20,heterogeneity,20,5839576,60.332,False,"[370, 0, 5839576]",0.033,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w50,heterogeneity,50,5839576,60.332,False,"[370, 0, 5839576]",0.032,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w100,heterogeneity,100,5839576,60.332,False,"[370, 0, 5839576]",0.032,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w500,heterogeneity,500,5839576,60.332,False,"[370, 0, 5839576]",0.034,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
medium_seed5,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w0,heterogeneity,0,6584736,60.366,False,"[490, 0, 6584736]",9.825,False,18,18,0.0,0.0,0.0,0.0,14,0,0,0,1.0
medium_seed5,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w1,heterogeneity,1,6584736,60.366,False,"[490, 0, 6584736]",9.976,False,18,18,0.0,0.0,0.0,0.0,14,0,0,0,1.0
medium_seed5,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w5,heterogeneity,5,6584736,60.366,False,"[490, 0, 6584736]",9.727,False,18,18,0.0,0.0,0.0,0.0,14,0,0,0,1.0
medium_seed5,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w10,heterogeneity,10,6584736,60.366,False,"[490, 0, 6584736]",9.712,False,18,18,0.0,0.0,0.0,0.0,14,0,0,0,1.0
medium_seed5,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w20,heterogeneity,20,6584736,60.366,False,"[490, 0, 6584736]",9.988,False,18,18,0.0,0.0,0.0,0.0,14,0,0,0,1.0
medium_seed5,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w50,heterogeneity,50,6584736,60.366,False,"[490, 0, 6584736]",9.839,False,18,18,0.0,0.0,0.0,0.0,14,0,0,0,1.0
medium_seed5,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w100,heterogeneity,100,6584736,60.366,False,"[490, 0, 6584736]",9.652,False,18,18,0.0,0.0,0.0,0.0,14,0,0,0,1.0
medium_seed5,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w500,heterogeneity,500,6584736,60.366,False,"[490, 0, 6584736]",9.654,False,18,18,0.0,0.0,0.0,0.0,14,0,0,0,1.0
