instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration,s1_transport_cost,s1_underdiversified
large_seed3,large,ablation,S1-COST,S2-BASE,,,0,27.11,True,[],0.069,False,613,603,0.0,0.0,1.0,1.0,347,384,503,10,1.0,155642,157
large_seed3,large,ablation,S1-COST,S2-EVEN,,,0,27.11,True,[143089],60.037,False,613,561,0.0,0.0,1.0,1.0,139,72,247,52,1.0,155642,157
large_seed3,large,ablation,S1-COST,S2-FULL,,,0,27.11,True,"[2010, 840, 150175]",60.044,False,613,590,0.0,0.0,1.0,1.0,187,168,332,23,1.0,155642,157
large_seed3,large,ablation,S1-COST,S2-HET,,,0,27.11,True,"[175, 143261]",60.034,False,613,565,0.0,0.0,1.0,1.0,224,35,384,48,1.0,155642,157
large_seed3,large,ablation,S1-COST,S2-VALW,,,0,27.11,True,"[168839, 890, 153391]",60.074,False,613,603,0.0,0.0,1.0,1.0,198,178,337,10,1.0,155642,157
large_seed3,large,ablation,S1-COST,S2-WC,,,0,27.11,True,"[1140, 145809]",60.038,False,613,573,0.0,0.0,1.0,1.0,108,104,358,40,1.0,155642,157
large_seed3,large,ablation,S1-DIV,S2-BASE,,,835,119.358,False,[],0.075,False,620,600,0.0,0.0,0.6341,1.0,344,365,525,20,1.0,156715,167
large_seed3,large,ablation,S1-DIV,S2-EVEN,,,835,119.358,False,[144003],60.04,False,620,566,0.0,0.0,0.6341,1.0,176,89,305,54,1.0,156715,167
large_seed3,large,ablation,S1-DIV,S2-FULL,,,835,119.358,False,"[2370, 995, 154109]",60.043,False,620,603,0.0,0.0,0.6341,1.0,216,199,382,17,1.0,156715,167
large_seed3,large,ablation,S1-DIV,S2-HET,,,835,119.358,False,"[175, 144412]",60.041,False,620,568,0.0,0.0,0.6341,1.0,242,35,418,52,1.0,156715,167
large_seed3,large,ablation,S1-DIV,S2-VALW,,,835,119.358,False,"[206960, 950, 155283]",60.051,False,620,611,0.0,0.0,0.6341,1.0,235,190,378,9,1.0,156715,167
large_seed3,large,ablation,S1-DIV,S2-WC,,,835,119.358,False,"[1210, 148126]",60.038,False,620,582,0.0,0.0,0.6341,1.0,114,123,386,38,1.0,156715,167
large_seed4,large,ablation,S1-COST,S2-BASE,,,0,9.312,True,[],0.051,False,544,514,0.0,0.0,1.0,1.0,270,274,413,30,1.0,147740,171
large_seed4,large,ablation,S1-COST,S2-EVEN,,,0,9.312,True,[134875],60.03,False,544,492,0.0,0.0,1.0,1.0,132,81,238,52,1.0,147740,171
large_seed4,large,ablation,S1-COST,S2-FULL,,,0,9.312,True,"[1600, 715, 141518]",60.038,False,544,521,0.0,0.0,1.0,1.0,141,143,274,23,1.0,147740,171
large_seed4,large,ablation,S1-COST,S2-HET,,,0,9.312,True,"[175, 135417]",60.029,False,544,494,0.0,0.0,1.0,1.0,179,35,360,50,1.0,147740,171
large_seed4,large,ablation,S1-COST,S2-VALW,,,0,9.312,True,"[81972, 715, 142406]",60.037,False,544,521,0.0,0.0,1.0,1.0,141,143,282,23,1.0,147740,171
large_seed4,large,ablation,S1-COST,S2-WC,,,0,9.312,True,"[970, 135711]",60.03,False,544,498,0.0,0.0,1.0,1.0,85,91,326,46,1.0,147740,171
large_seed4,large,ablation,S1-DIV,S2-BASE,,,705,119.369,False,[],0.07,False,607,583,0.0,0.0,1.0,2.0,329,299,491,24,1.0,161479,141
large_seed4,large,ablation,S1-DIV,S2-EVEN,,,705,119.369,False,[150891],60.037,False,607,561,0.0,0.0,1.0,2.0,149,71,259,46,1.0,161479,141
large_seed4,large,ablation,S1-DIV,S2-FULL,,,705,119.369,False,"[2140, 800, 157794]",60.056,False,607,592,0.0,0.0,1.0,2.0,192,160,353,15,1.0,161479,141
large_seed4,large,ablation,S1-DIV,S2-HET,,,705,119.369,False,"[130, 151295]",60.032,False,607,564,0.0,0.0,1.0,2.0,219,26,413,43,1.0,161479,141
large_seed4,large,ablation,S1-DIV,S2-VALW,,,705,119.369,False,"[132512, 920, 158397]",60.049,False,607,592,0.0,0.0,1.0,2.0,218,184,374,15,1.0,161479,141
large_seed4,large,ablation,S1-DIV,S2-WC,,,705,119.369,False,"[1290, 151739]",60.035,False,607,571,0.0,0.0,1.0,2.0,122,100,379,36,1.0,161479,141
large_seed5,large,ablation,S1-COST,S2-BASE,,,0,14.01,True,[],0.055,False,545,544,0.0,0.0,1.0,2.0,262,289,379,1,1.0,165400,192
large_seed5,large,ablation,S1-COST,S2-EVEN,,,0,14.01,True,[150857],60.037,False,545,499,0.0,0.0,1.0,2.0,112,70,146,46,1.0,165400,192
large_seed5,large,ablation,S1-COST,S2-FULL,,,0,14.01,True,"[1360, 540, 158837]",60.041,False,545,525,0.0,0.0,1.0,2.0,122,108,216,20,1.0,165400,192
large_seed5,large,ablation,S1-COST,S2-HET,,,0,14.01,True,"[210, 151740]",60.032,False,545,502,0.0,0.0,1.0,2.0,201,42,308,43,1.0,165400,192
large_seed5,large,ablation,S1-COST,S2-VALW,,,0,14.01,True,"[39122, 555, 161862]",60.042,False,545,533,0.0,0.0,1.0,2.0,118,111,197,12,1.0,165400,192
large_seed5,large,ablation,S1-COST,S2-WC,,,0,14.01,True,"[650, 156660]",60.035,False,545,516,0.0,0.0,1.0,2.0,56,96,257,29,1.0,165400,192
large_seed5,large,ablation,S1-DIV,S2-BASE,,,690,119.374,False,[],0.064,False,611,596,0.0,0.0,1.0,2.0,318,354,449,15,1.0,183320,138
large_seed5,large,ablation,S1-DIV,S2-EVEN,,,690,119.374,False,[162261],60.049,False,611,546,0.0,0.0,1.0,2.0,158,69,258,65,1.0,183320,138
large_seed5,large,ablation,S1-DIV,S2-FULL,,,690,119.374,False,"[1900, 815, 175631]",60.045,False,611,591,0.0,0.0,1.0,2.0,171,163,312,20,1.0,183320,138
large_seed5,large,ablation,S1-DIV,S2-HET,,,690,119.374,False,"[145, 162924]",60.036,False,611,548,0.0,0.0,1.0,2.0,219,29,361,63,1.0,183320,138
large_seed5,large,ablation,S1-DIV,S2-VALW,,,690,119.374,False,"[58927, 895, 177519]",60.046,False,611,592,0.0,0.0,1.0,2.0,185,179,315,19,1.0,183320,138
large_seed5,large,ablation,S1-DIV,S2-WC,,,690,119.374,False,"[1330, 165380]",60.039,False,611,558,0.0,0.0,1.0,2.0,121,96,338,53,1.0,183320,138
large_seed7,large,ablation,S1-COST,S2-BASE,,,5485,119.594,False,[],0.003,False,14,14,0.0,0.0,0.0,0.0,14,0,8,0,1.0,,
large_seed7,large,ablation,S1-COST,S2-EVEN,,,5485,119.594,False,[5490666],0.014,False,14,14,0.0,0.0,0.0,0.0,8,0,0,0,1.0,,
large_seed7,large,ablation,S1-COST,S2-FULL,,,5485,119.594,False,"[210, 0, 5490666]",0.021,False,14,14,0.0,0.0,0.0,0.0,8,0,0,0,1.0,,
large_seed7,large,ablation,S1-COST,S2-HET,,,5485,119.594,False,"[0, 5490666]",0.003,False,14,14,0.0,0.0,0.0,0.0,14,0,8,0,1.0,,
