weight,config,single_0.2,single_0.4,single_0.6,single_0.8,global_0.2,global_0.4,global_0.6,global_0.8
0,off_off,0.67,0.71,0.74,0.8,0.0,0.0,0.03,0.05
0,hetero,0.67,0.71,0.77,0.8,0.0,0.0,0.05,0.12
0,conc,0.67,0.71,0.75,0.81,0.0,0.0,0.06,0.12
0,both,0.67,0.71,0.75,0.79,0.0,0.0,0.04,0.11
2000,off_off,0.59,0.63,0.69,0.8,0.0,0.0,0.04,0.11
2000,hetero,0.59,0.65,0.68,0.81,0.0,0.0,0.05,0.12
2000,conc,0.61,0.69,0.74,0.79,0.0,0.01,0.07,0.14
2000,both,0.58,0.67,0.71,0.78,0.0,0.0,0.08,0.13
