size,w_best,rtr_w0,r1_w0,s2_cost_w0,rtr_wbest,r1_wbest,s2_cost_wbest,delta_rtr,cost_increase_pct
paper,1000,0.5,0.8,3101.0,0.7,0.825,3423.0,0.2,10.384
small,750,0.363,0.817,3396.025,0.6,0.82,4451.3,0.237,31.074
medium,750,0.507,0.787,8793.3,0.593,0.788,10421.6,0.087,18.518
large,300,0.573,0.845,13038.85,0.567,0.81,16140.85,-0.007,23.79
xlarge,1000,0.647,0.788,14922.5,0.633,0.768,16155.5,-0.013,8.263
industrylite,1000,0.7,0.828,59473.35,0.6,0.813,61382.25,-0.1,3.21
industry,0,0.0,0.0,35405916.0,0.0,0.0,35405916.0,0.0,0.0
