solver,encoding_family,backend,instance,instance_size,seed,n_locations,n_parts,n_routes,n_transports,density,capacity_tightness,num_bins,time_limit,run,status,wall_time,total_time,ground_time,solve_time,cost,optimum,satisfiable,choices,conflicts,restarts,atoms,s1_time,s2_time,s1_atoms,s2_atoms,s1_cost,s2_cost,s1_optimum,s2_optimum
clingcon_oneshot,one-shot,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,2,OK,11.287,11.282,0.011,11.271,11024,True,True,207822,150143,1697,2619,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,3,OK,11.572,11.565,0.01,11.555,11024,True,True,207822,150143,1697,2619,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,1,OK,1200.115,1200.071,0.04,1200.031,6192,False,True,71554203,50541386,93849,5718,600.043,600.028,3365,2353,6192,39,False,False
naive_twostage,two-stage,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,2,OK,1200.074,1200.056,0.033,1200.023,6192,False,True,71292659,49934593,91762,5718,600.036,600.02,3365,2353,6192,39,False,False
naive_twostage,two-stage,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,3,OK,1200.095,1200.075,0.037,1200.039,6192,False,True,70184152,49515241,92082,5718,600.048,600.027,3365,2353,6192,39,False,False
clingcon_twostage,two-stage,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,1,OK,614.683,614.657,0.012,614.645,5756,False,True,16964155,15503409,26743,3072,14.606,600.051,1838,1234,5756,37,True,False
clingcon_twostage,two-stage,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,2,OK,614.516,614.492,0.013,614.479,5756,False,True,16902563,15447176,26615,3072,14.463,600.029,1838,1234,5756,37,True,False
clingcon_twostage,two-stage,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,3,OK,614.655,614.631,0.011,614.619,5756,False,True,17023132,15556640,26871,3072,14.611,600.02,1838,1234,5756,37,True,False
naive_oneshot,one-shot,naive,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,3,600,1,OK,600.892,600.805,0.79,600.014,8488,False,True,4482022,1177953,2539,612036,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,3,600,2,OK,600.85,600.772,0.754,600.018,8488,False,True,4581446,1198145,2556,612036,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,3,600,3,OK,600.891,600.815,0.797,600.018,8488,False,True,4580147,1197744,2556,612036,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,3,600,1,OK,345.943,345.922,0.016,345.905,8480,True,True,5468665,3781103,25082,2890,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,3,600,2,OK,339.665,339.64,0.015,339.624,8480,True,True,5468665,3781103,25082,2890,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,3,600,3,OK,342.509,342.491,0.014,342.477,8480,True,True,5468665,3781103,25082,2890,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,,600,1,OK,602.256,602.241,0.032,602.209,3784,False,True,29173985,13078567,25082,4665,600.029,2.212,3367,1298,3784,25,False,True
naive_twostage,two-stage,naive,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,,600,2,OK,602.278,602.25,0.035,602.216,3784,False,True,28984860,12987145,25081,4665,600.051,2.199,3367,1298,3784,25,False,True
naive_twostage,two-stage,naive,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,,600,3,OK,602.291,602.282,0.028,602.255,3784,False,True,29076486,13030031,25081,4665,600.025,2.257,3367,1298,3784,25,False,True
clingcon_twostage,two-stage,clingcon,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,,600,1,OK,99.442,99.424,0.012,99.412,3784,True,True,5538242,4757401,8313,2823,99.037,0.387,1838,985,3784,26,True,True
clingcon_twostage,two-stage,clingcon,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,,600,2,OK,97.327,97.317,0.009,97.308,3784,True,True,5538242,4757401,8313,2823,96.928,0.389,1838,985,3784,26,True,True
clingcon_twostage,two-stage,clingcon,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,,600,3,OK,99.067,99.057,0.01,99.047,3784,True,True,5538242,4757401,8313,2823,98.675,0.382,1838,985,3784,26,True,True
naive_oneshot,one-shot,naive,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,3,600,1,OK,601.706,601.579,1.565,600.014,18200,False,True,3317750,796866,1977,1134979,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,3,600,2,OK,601.756,601.551,1.528,600.024,19180,False,True,3247827,784289,1922,1134979,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,3,600,3,OK,601.807,601.625,1.608,600.017,19180,False,True,3266219,787124,1937,1134979,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,3,600,1,OK,205.56,205.545,0.019,205.526,13825,True,True,2002921,1472171,14969,4154,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,3,600,2,OK,208.942,208.934,0.017,208.916,13825,True,True,2002921,1472171,14969,4154,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,3,600,3,OK,208.831,208.823,0.019,208.804,13825,True,True,2002921,1472171,14969,4154,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,,600,1,OK,600.066,600.056,0.032,600.024,4270,False,True,34771146,13995895,24403,4904,600.038,0.018,3998,906,4270,17,False,True
naive_twostage,two-stage,naive,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,,600,2,OK,600.062,600.053,0.034,600.019,4270,False,True,34881120,14039795,24550,4904,600.035,0.018,3998,906,4270,17,False,True
naive_twostage,two-stage,naive,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,,600,3,OK,600.062,600.055,0.031,600.024,4270,False,True,34798455,14006995,24448,4904,600.037,0.018,3998,906,4270,17,False,True
clingcon_twostage,two-stage,clingcon,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,,600,1,OK,600.058,600.048,0.016,600.032,4270,False,True,46235002,22922933,40382,2800,600.029,0.019,2238,562,4270,17,False,True
clingcon_twostage,two-stage,clingcon,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,,600,2,OK,600.059,600.049,0.01,600.039,4270,False,True,46322197,22967400,40448,2800,600.038,0.011,2238,562,4270,17,False,True
clingcon_twostage,two-stage,clingcon,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,,600,3,OK,600.033,600.026,0.009,600.016,4270,False,True,46316214,22964591,40448,2800,600.015,0.011,2238,562,4270,17,False,True
