solver,encoding_family,backend,instance,instance_size,seed,n_locations,n_parts,n_routes,n_transports,density,capacity_tightness,num_bins,time_limit,run,status,wall_time,total_time,ground_time,solve_time,cost,optimum,satisfiable,choices,conflicts,restarts,atoms,s1_time,s2_time,s1_atoms,s2_atoms,s1_cost,s2_cost,s1_optimum,s2_optimum
clingcon_oneshot,one-shot,clingcon,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,3,600,1,OK,600.152,600.106,0.09,600.017,165364,False,True,18087359,14862297,119345,8820,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,3,600,2,OK,600.071,600.048,0.034,600.014,165364,False,True,18280419,14984292,119996,8820,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,3,600,3,OK,600.078,600.061,0.047,600.014,165305,False,True,18973474,15451796,122874,8820,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,,600,1,OK,600.176,600.153,0.095,600.058,16009,False,True,21474159,8268774,14358,10921,600.092,0.061,9087,1834,16009,45,False,True
naive_twostage,two-stage,naive,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,,600,2,OK,600.172,600.147,0.084,600.062,16009,False,True,21539290,8299734,14358,10921,600.082,0.065,9087,1834,16009,45,False,True
naive_twostage,two-stage,naive,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,,600,3,OK,600.16,600.129,0.076,600.054,16009,False,True,21623648,8334882,14419,10921,600.071,0.058,9087,1834,16009,45,False,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,,600,1,OK,1200.118,1200.078,0.02,1200.058,15407,False,True,79368233,57879241,92373,6388,600.055,600.023,4473,1915,15407,48,False,False
clingcon_twostage,two-stage,clingcon,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,,600,2,OK,1200.087,1200.066,0.025,1200.041,15393,False,True,61305327,40050379,67608,6634,600.048,600.018,4473,2161,15393,44,False,False
clingcon_twostage,two-stage,clingcon,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,,600,3,OK,1200.087,1200.068,0.029,1200.039,15393,False,True,61249019,40052159,67699,6634,600.038,600.03,4473,2161,15393,44,False,False
naive_oneshot,one-shot,naive,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,3,600,1,OK,606.464,605.761,5.723,600.038,4023,False,True,2873304,250865,604,3511538,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,3,600,2,OK,610.033,609.289,9.257,600.031,4023,False,True,2764730,239812,570,3511538,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,3,600,3,OK,606.669,606.08,6.048,600.032,4023,False,True,2866454,250136,603,3511538,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,3,600,1,OK,21.423,21.413,0.088,21.325,4023,True,True,341207,166534,2426,14303,,,,,,,,
